"date","code","age","cum.deaths","daily.deaths"
2020-05-25,"NJ","0-4",0,NA
2020-05-25,"NJ","20-29",44,NA
2020-05-25,"NJ","30-49",478,NA
2020-05-25,"NJ","5-19",0,NA
2020-05-25,"NJ","50-64",1767,NA
2020-05-25,"NJ","65-79",3635,NA
2020-05-25,"NJ","80+",5257,NA
2020-05-26,"NJ","0-4",0,0
2020-05-26,"NJ","20-29",45,1
2020-05-26,"NJ","30-49",478,0
2020-05-26,"NJ","5-19",0,0
2020-05-26,"NJ","50-64",1800,33
2020-05-26,"NJ","65-79",3683,48
2020-05-26,"NJ","80+",5326,69
2020-05-27,"NJ","0-4",11,11
2020-05-27,"NJ","20-29",45,0
2020-05-27,"NJ","30-49",478,0
2020-05-27,"NJ","5-19",0,0
2020-05-27,"NJ","50-64",1800,0
2020-05-27,"NJ","65-79",3703,20
2020-05-27,"NJ","80+",5356,30
2020-05-28,"NJ","0-4",11,0
2020-05-28,"NJ","20-29",46,1
2020-05-28,"NJ","30-49",484,6
2020-05-28,"NJ","5-19",0,0
2020-05-28,"NJ","50-64",1821,21
2020-05-28,"NJ","65-79",3745,42
2020-05-28,"NJ","80+",5417,61
2020-05-29,"NJ","0-4",11,0
2020-05-29,"NJ","20-29",46,0
2020-05-29,"NJ","30-49",488,4
2020-05-29,"NJ","5-19",0,0
2020-05-29,"NJ","50-64",1837,16
2020-05-29,"NJ","65-79",3780,35
2020-05-29,"NJ","80+",5478,61
2020-05-30,"NJ","0-4",11,0
2020-05-30,"NJ","20-29",46,0
2020-05-30,"NJ","30-49",491,3
2020-05-30,"NJ","5-19",0,0
2020-05-30,"NJ","50-64",1847,10
2020-05-30,"NJ","65-79",3789,9
2020-05-30,"NJ","80+",5508,30
2020-05-31,"NJ","0-4",11,0
2020-05-31,"NJ","20-29",46,0
2020-05-31,"NJ","30-49",492,1
2020-05-31,"NJ","5-19",0,0
2020-05-31,"NJ","50-64",1851,4
2020-05-31,"NJ","65-79",3796,7
2020-05-31,"NJ","80+",5519,11
2020-06-01,"NJ","0-4",11,0
2020-06-01,"NJ","20-29",47,1
2020-06-01,"NJ","30-49",494,2
2020-06-01,"NJ","5-19",0,0
2020-06-01,"NJ","50-64",1870,19
2020-06-01,"NJ","65-79",3824,28
2020-06-01,"NJ","80+",5542,23
2020-06-02,"NJ","0-4",11,0
2020-06-02,"NJ","20-29",47,0
2020-06-02,"NJ","30-49",498,4
2020-06-02,"NJ","5-19",0,0
2020-06-02,"NJ","50-64",1876,6
2020-06-02,"NJ","65-79",3860,36
2020-06-02,"NJ","80+",5582,40
2020-06-03,"NJ","0-4",11,0
2020-06-03,"NJ","20-29",47,0
2020-06-03,"NJ","30-49",502,4
2020-06-03,"NJ","5-19",0,0
2020-06-03,"NJ","50-64",1890,14
2020-06-03,"NJ","65-79",3887,27
2020-06-03,"NJ","80+",5628,46
2020-06-04,"NJ","0-4",11,0
2020-06-04,"NJ","20-29",47,0
2020-06-04,"NJ","30-49",506,4
2020-06-04,"NJ","5-19",0,0
2020-06-04,"NJ","50-64",1904,14
2020-06-04,"NJ","65-79",3914,27
2020-06-04,"NJ","80+",5674,46
2020-06-05,"NJ","0-4",11,0
2020-06-05,"NJ","20-29",47,0
2020-06-05,"NJ","30-49",509,3
2020-06-05,"NJ","5-19",0,0
2020-06-05,"NJ","50-64",1925,21
2020-06-05,"NJ","65-79",3933,19
2020-06-05,"NJ","80+",5689,15
2020-06-06,"NJ","0-4",11,0
2020-06-06,"NJ","20-29",47,0
2020-06-06,"NJ","30-49",512,3
2020-06-06,"NJ","5-19",0,0
2020-06-06,"NJ","50-64",1936,11
2020-06-06,"NJ","65-79",3956,23
2020-06-06,"NJ","80+",5722,33
2020-06-07,"NJ","0-4",11,0
2020-06-07,"NJ","20-29",47,0
2020-06-07,"NJ","30-49",513,1
2020-06-07,"NJ","5-19",0,0
2020-06-07,"NJ","50-64",1942,6
2020-06-07,"NJ","65-79",3956,0
2020-06-07,"NJ","80+",5740,18
2020-06-08,"NJ","0-4",11,0
2020-06-08,"NJ","20-29",48,1
2020-06-08,"NJ","30-49",529,16
2020-06-08,"NJ","5-19",0,0
