"age","code","date","daily.deaths","cum.deaths"
"0-9","AK",2020-06-09,NA,0
"10-19","AK",2020-06-09,NA,0
"20-29","AK",2020-06-09,NA,0
"30-39","AK",2020-06-09,NA,2
"40-49","AK",2020-06-09,NA,0
"50-59","AK",2020-06-09,NA,1
"60-69","AK",2020-06-09,NA,1
"70-79","AK",2020-06-09,NA,6
"80+","AK",2020-06-09,NA,1
"0-9","AK",2020-06-10,0,0
"10-19","AK",2020-06-10,0,0
"20-29","AK",2020-06-10,0,0
"30-39","AK",2020-06-10,0,2
"40-49","AK",2020-06-10,0,0
"50-59","AK",2020-06-10,0,1
"60-69","AK",2020-06-10,0,1
"70-79","AK",2020-06-10,0,6
"80+","AK",2020-06-10,0,1
"0-9","AK",2020-06-11,0,0
"10-19","AK",2020-06-11,0,0
"20-29","AK",2020-06-11,0,0
"30-39","AK",2020-06-11,0,2
"40-49","AK",2020-06-11,0,0
"50-59","AK",2020-06-11,0,1
"60-69","AK",2020-06-11,0,1
"70-79","AK",2020-06-11,0,6
"80+","AK",2020-06-11,0,1
"0-9","AK",2020-06-12,0,0
"10-19","AK",2020-06-12,0,0
"20-29","AK",2020-06-12,0,0
"30-39","AK",2020-06-12,0,2
"40-49","AK",2020-06-12,0,0
"50-59","AK",2020-06-12,0,1
"60-69","AK",2020-06-12,0,1
"70-79","AK",2020-06-12,0,6
"80+","AK",2020-06-12,1,2
"0-9","AK",2020-06-13,0,0
"10-19","AK",2020-06-13,0,0
"20-29","AK",2020-06-13,0,0
"30-39","AK",2020-06-13,0,2
"40-49","AK",2020-06-13,0,0
"50-59","AK",2020-06-13,0,1
"60-69","AK",2020-06-13,0,1
"70-79","AK",2020-06-13,0,6
"80+","AK",2020-06-13,0,2
"0-9","AK",2020-06-14,0,0
"10-19","AK",2020-06-14,0,0
"20-29","AK",2020-06-14,0,0
"30-39","AK",2020-06-14,0,2
"40-49","AK",2020-06-14,0,0
"50-59","AK",2020-06-14,0,1
"60-69","AK",2020-06-14,0,1
"70-79","AK",2020-06-14,0,6
"80+","AK",2020-06-14,0,2
"0-9","AK",2020-06-15,0,0
"10-19","AK",2020-06-15,0,0
"20-29","AK",2020-06-15,0,0
"30-39","AK",2020-06-15,0,2
"40-49","AK",2020-06-15,0,0
"50-59","AK",2020-06-15,0,1
"60-69","AK",2020-06-15,0,1
"70-79","AK",2020-06-15,0,6
"80+","AK",2020-06-15,0,2
"0-9","AK",2020-06-16,0,0
"10-19","AK",2020-06-16,0,0
"20-29","AK",2020-06-16,0,0
"30-39","AK",2020-06-16,0,2
"40-49","AK",2020-06-16,0,0
"50-59","AK",2020-06-16,0,1
"60-69","AK",2020-06-16,0,1
"70-79","AK",2020-06-16,0,6
"80+","AK",2020-06-16,0,2
"0-9","AK",2020-06-17,0,0
"10-19","AK",2020-06-17,0,0
"20-29","AK",2020-06-17,0,0
"30-39","AK",2020-06-17,0,2
"40-49","AK",2020-06-17,0,0
"50-59","AK",2020-06-17,0,1
"60-69","AK",2020-06-17,0,1
"70-79","AK",2020-06-17,0,6
"80+","AK",2020-06-17,0,2
"0-9","AK",2020-06-18,0,0
"10-19","AK",2020-06-18,0,0
"20-29","AK",2020-06-18,0,0
"30-39","AK",2020-06-18,0,2
"40-49","AK",2020-06-18,0,0
"50-59","AK",2020-06-18,0,1
"60-69","AK",2020-06-18,0,1
"70-79","AK",2020-06-18,0,6
"80+","AK",2020-06-18,0,2
"0-9","AK",2020-06-19,0,0
"10-19","AK",2020-06-19,0,0
"20-29","AK",2020-06-19,0,0
"30-39","AK",2020-06-19,0,2
"40-49","AK",2020-06-19,0,0
"50-59","AK",2020-06-19,0,1
"60-69","AK",2020-06-19,0,1
"70-79","AK",2020-06-19,0,6
"80+","AK",2020-06-19,0,2
"0-9","AK",2020-06-20,0,0
"10-19","AK",2020-06-20,0,0
"20-29","AK",2020-06-20,0,0
"30-39","AK",2020-06-20,0,2
"40-49","AK",2020-06-20,0,0
"50-59","AK",2020-06-20,0,1
"60-69","AK",2020-06-20,0,1
"70-79","AK",2020-06-20,0,6
"80+","AK",2020-06-20,0,2
"0-9","AK",2020-06-21,0,0
"10-19","AK",2020-06-21,0,0
"20-29","AK",2020-06-21,0,0
"30-39","AK",2020-06-21,0,2
"40-49","AK",2020-06-21,0,0
"50-59","AK",2020-06-21,0,1
"60-69","AK",2020-06-21,0,1
"70-79","AK",2020-06-21,0,6
"80+","AK",2020-06-21,0,2
"0-9","AK",2020-06-22,0,0
"10-19","AK",2020-06-22,0,0
"20-29","AK",2020-06-22,0,0
"30-39","AK",2020-06-22,0,2
"40-49","AK",2020-06-22,0,0
"50-59","AK",2020-06-22,0,1
"60-69","AK",2020-06-22,0,1
"70-79","AK",2020-06-22,0,6
"80+","AK",2020-06-22,0,2
"0-9","AK",2020-06-23,0,0
"10-19","AK",2020-06-23,0,0
"20-29","AK",2020-06-23,0,0
"30-39","AK",2020-06-23,0,2
"40-49","AK",2020-06-23,0,0
"50-59","AK",2020-06-23,0,1
"60-69","AK",2020-06-23,0,1
"70-79","AK",2020-06-23,0,6
"80+","AK",2020-06-23,0,2
"0-9","AK",2020-06-24,0,0
"10-19","AK",2020-06-24,0,0
"20-29","AK",2020-06-24,0,0
"30-39","AK",2020-06-24,0,2
"40-49","AK",2020-06-24,0,0
"50-59","AK",2020-06-24,0,1
"60-69","AK",2020-06-24,0,1
"70-79","AK",2020-06-24,0,6
"80+","AK",2020-06-24,0,2
"0-9","AK",2020-06-25,0,0
"10-19","AK",2020-06-25,0,0
"20-29","AK",2020-06-25,0,0
"30-39","AK",2020-06-25,0,2
"40-49","AK",2020-06-25,0,0
"50-59","AK",2020-06-25,0,1
"60-69","AK",2020-06-25,0,1
"70-79","AK",2020-06-25,0,6
"80+","AK",2020-06-25,0,2
"0-9","AK",2020-06-26,0,0
"10-19","AK",2020-06-26,0,0
"20-29","AK",2020-06-26,0,0
"30-39","AK",2020-06-26,0,2
"40-49","AK",2020-06-26,0,0
"50-59","AK",2020-06-26,0,1
"60-69","AK",2020-06-26,1,1
"70-79","AK",2020-06-26,1,6
"80+","AK",2020-06-26,0,2
"0-9","AK",2020-06-27,0,0
"10-19","AK",2020-06-27,0,0
"20-29","AK",2020-06-27,0,0
"30-39","AK",2020-06-27,0,2
"40-49","AK",2020-06-27,0,0
"50-59","AK",2020-06-27,0,1
"60-69","AK",2020-06-27,0,2
"70-79","AK",2020-06-27,0,7
"80+","AK",2020-06-27,0,2
"0-9","AK",2020-06-28,0,0
"10-19","AK",2020-06-28,0,0
"20-29","AK",2020-06-28,0,0
