"date","age","cum.deaths","daily.deaths","code"
2020-05-13,"0-19",0,NA,"CA"
2020-05-13,"20-49",182,NA,"CA"
2020-05-13,"50-64",455,NA,"CA"
2020-05-13,"65+",2395,NA,"CA"
2020-05-14,"0-19",0,0,"CA"
2020-05-14,"20-49",186,4,"CA"
2020-05-14,"50-64",466,11,"CA"
2020-05-14,"65+",2455,60,"CA"
2020-05-15,"0-19",0,0,"CA"
2020-05-15,"20-49",192,6,"CA"
2020-05-15,"50-64",481,15,"CA"
2020-05-15,"65+",2531,76,"CA"
2020-05-16,"0-19",0,0,"CA"
2020-05-16,"20-49",196,4,"CA"
2020-05-16,"50-64",489,8,"CA"
2020-05-16,"65+",2576,45,"CA"
2020-05-17,"0-19",0,0,"CA"
2020-05-17,"20-49",198,2,"CA"
2020-05-17,"50-64",495,6,"CA"
2020-05-17,"65+",2609,33,"CA"
2020-05-18,"0-19",0,0,"CA"
2020-05-18,"20-49",201,3,"CA"
2020-05-18,"50-64",501,6,"CA"
2020-05-18,"65+",2641,32,"CA"
2020-05-19,"0-19",0,0,"CA"
2020-05-19,"20-49",206,5,"CA"
2020-05-19,"50-64",515,14,"CA"
2020-05-19,"65+",2714,73,"CA"
2020-05-20,"0-19",0,0,"CA"
2020-05-20,"20-49",213,7,"CA"
2020-05-20,"50-64",531,16,"CA"
2020-05-20,"65+",2798,84,"CA"
2020-05-21,"0-19",0,0,"CA"
2020-05-21,"20-49",218,5,"CA"
2020-05-21,"50-64",545,14,"CA"
2020-05-21,"65+",2867,69,"CA"
2020-05-22,"0-19",0,0,"CA"
2020-05-22,"20-49",222,4,"CA"
2020-05-22,"50-64",556,11,"CA"
2020-05-22,"65+",2929,62,"CA"
2020-05-23,"0-19",0,0,"CA"
2020-05-23,"20-49",226,4,"CA"
2020-05-23,"50-64",566,10,"CA"
2020-05-23,"65+",2981,52,"CA"
2020-05-24,"0-19",0,0,"CA"
2020-05-24,"20-49",228,2,"CA"
2020-05-24,"50-64",569,3,"CA"
2020-05-24,"65+",2998,17,"CA"
2020-05-25,"0-19",0,0,"CA"
2020-05-25,"20-49",229,1,"CA"
2020-05-25,"50-64",572,3,"CA"
2020-05-25,"65+",3013,15,"CA"
2020-05-26,"0-19",0,0,"CA"
2020-05-26,"20-49",233,4,"CA"
2020-05-26,"50-64",583,11,"CA"
2020-05-26,"65+",3068,55,"CA"
