"age","code","date","daily.deaths","cum.deaths"
"80+","ID",2020-05-13,NA,35
"70-79","ID",2020-05-13,NA,13
"60-69","ID",2020-05-13,NA,9
"50-59","ID",2020-05-13,NA,2
"40-49","ID",2020-05-13,NA,0
"30-39","ID",2020-05-13,NA,0
"18-29","ID",2020-05-13,NA,0
"0-17","ID",2020-05-13,NA,0
"80+","ID",2020-05-14,0,35
"70-79","ID",2020-05-14,0,13
"60-69","ID",2020-05-14,0,9
"50-59","ID",2020-05-14,0,2
"40-49","ID",2020-05-14,0,0
"30-39","ID",2020-05-14,0,0
"18-29","ID",2020-05-14,0,0
"0-17","ID",2020-05-14,0,0
"80+","ID",2020-05-15,0,35
"70-79","ID",2020-05-15,2,15
"60-69","ID",2020-05-15,0,9
"50-59","ID",2020-05-15,0,2
"40-49","ID",2020-05-15,0,0
"30-39","ID",2020-05-15,0,0
"18-29","ID",2020-05-15,0,0
"0-17","ID",2020-05-15,0,0
"80+","ID",2020-05-16,0,35
"70-79","ID",2020-05-16,0,15
"60-69","ID",2020-05-16,0,9
"50-59","ID",2020-05-16,0,2
"40-49","ID",2020-05-16,0,0
"30-39","ID",2020-05-16,0,0
"18-29","ID",2020-05-16,0,0
"0-17","ID",2020-05-16,0,0
"80+","ID",2020-05-17,0,35
"70-79","ID",2020-05-17,0,15
"60-69","ID",2020-05-17,0,9
"50-59","ID",2020-05-17,0,2
"40-49","ID",2020-05-17,0,0
"30-39","ID",2020-05-17,0,0
"18-29","ID",2020-05-17,0,0
"0-17","ID",2020-05-17,0,0
"80+","ID",2020-05-18,0,35
"70-79","ID",2020-05-18,0,15
"60-69","ID",2020-05-18,0,9
"50-59","ID",2020-05-18,0,2
"40-49","ID",2020-05-18,0,0
"30-39","ID",2020-05-18,0,0
"18-29","ID",2020-05-18,0,0
"0-17","ID",2020-05-18,0,0
"80+","ID",2020-05-19,0,35
"70-79","ID",2020-05-19,0,15
"60-69","ID",2020-05-19,0,9
"50-59","ID",2020-05-19,0,2
"40-49","ID",2020-05-19,0,0
"30-39","ID",2020-05-19,0,0
"18-29","ID",2020-05-19,0,0
"0-17","ID",2020-05-19,0,0
"80+","ID",2020-05-20,0,35
"70-79","ID",2020-05-20,1,16
"60-69","ID",2020-05-20,0,9
"50-59","ID",2020-05-20,0,2
"40-49","ID",2020-05-20,0,0
"30-39","ID",2020-05-20,0,0
"18-29","ID",2020-05-20,0,0
"0-17","ID",2020-05-20,0,0
"80+","ID",2020-05-21,0,35
"70-79","ID",2020-05-21,0,16
"60-69","ID",2020-05-21,0,9
"50-59","ID",2020-05-21,0,2
"40-49","ID",2020-05-21,0,0
"30-39","ID",2020-05-21,0,0
"18-29","ID",2020-05-21,0,0
"0-17","ID",2020-05-21,0,0
"80+","ID",2020-05-22,0,35
"70-79","ID",2020-05-22,0,16
"60-69","ID",2020-05-22,0,9
"50-59","ID",2020-05-22,0,2
"40-49","ID",2020-05-22,0,0
"30-39","ID",2020-05-22,0,0
"18-29","ID",2020-05-22,0,0
"0-17","ID",2020-05-22,0,0
"80+","ID",2020-05-23,0,35
