"date","age","cum.deaths","daily.deaths","code"
2020-05-12,"20-29",8,NA,"LA"
2020-05-12,"30-39",41,NA,"LA"
2020-05-12,"40-49",85,NA,"LA"
2020-05-12,"50-59",198,NA,"LA"
2020-05-12,"60-69",418,NA,"LA"
2020-05-12,"70+",1529,NA,"LA"
2020-05-12,"0-19",2,NA,"LA"
2020-05-13,"20-29",8,0,"LA"
2020-05-13,"30-39",41,0,"LA"
2020-05-13,"40-49",87,2,"LA"
2020-05-13,"50-59",202,4,"LA"
2020-05-13,"60-69",424,6,"LA"
2020-05-13,"70+",1551,22,"LA"
2020-05-13,"0-19",2,0,"LA"
2020-05-14,"20-29",9,1,"LA"
2020-05-14,"30-39",41,0,"LA"
2020-05-14,"40-49",88,1,"LA"
2020-05-14,"50-59",206,4,"LA"
2020-05-14,"60-69",429,5,"LA"
2020-05-14,"70+",1576,25,"LA"
2020-05-14,"0-19",2,0,"LA"
2020-05-15,"20-29",9,0,"LA"
2020-05-15,"30-39",41,0,"LA"
2020-05-15,"40-49",90,2,"LA"
2020-05-15,"50-59",206,0,"LA"
2020-05-15,"60-69",436,7,"LA"
2020-05-15,"70+",1598,22,"LA"
2020-05-15,"0-19",2,0,"LA"
2020-05-16,"20-29",9,0,"LA"
2020-05-16,"30-39",42,1,"LA"
2020-05-16,"40-49",92,2,"LA"
2020-05-16,"50-59",209,3,"LA"
2020-05-16,"60-69",440,4,"LA"
2020-05-16,"70+",1619,21,"LA"
2020-05-16,"0-19",2,0,"LA"
2020-05-17,"20-29",9,0,"LA"
2020-05-17,"30-39",42,0,"LA"
2020-05-17,"40-49",92,0,"LA"
2020-05-17,"50-59",210,1,"LA"
2020-05-17,"60-69",442,2,"LA"
2020-05-17,"70+",1628,9,"LA"
2020-05-17,"0-19",2,0,"LA"
2020-05-18,"20-29",9,0,"LA"
2020-05-18,"30-39",43,1,"LA"
2020-05-18,"40-49",92,0,"LA"
2020-05-18,"50-59",213,3,"LA"
