"age","date","code","cum.deaths","daily.deaths"
"0-10",2020-04-09,"TN",1,NA
"11-20",2020-04-09,"TN",0,NA
"21-30",2020-04-09,"TN",1,NA
"31-40",2020-04-09,"TN",1,NA
"41-50",2020-04-09,"TN",5,NA
"51-60",2020-04-09,"TN",9,NA
"61-70",2020-04-09,"TN",23,NA
"71-80",2020-04-09,"TN",24,NA
"81+",2020-04-09,"TN",30,NA
"0-10",2020-04-10,"TN",1,0
"11-20",2020-04-10,"TN",0,0
"21-30",2020-04-10,"TN",1,0
"31-40",2020-04-10,"TN",1,0
"41-50",2020-04-10,"TN",5,0
"51-60",2020-04-10,"TN",9,0
"61-70",2020-04-10,"TN",26,3
"71-80",2020-04-10,"TN",24,0
"81+",2020-04-10,"TN",31,1
"0-10",2020-04-11,"TN",1,0
"11-20",2020-04-11,"TN",0,0
"21-30",2020-04-11,"TN",1,0
"31-40",2020-04-11,"TN",1,0
"41-50",2020-04-11,"TN",5,0
"51-60",2020-04-11,"TN",9,0
"61-70",2020-04-11,"TN",27,1
"71-80",2020-04-11,"TN",25,1
"81+",2020-04-11,"TN",32,1
"0-10",2020-04-12,"TN",1,0
"11-20",2020-04-12,"TN",0,0
"21-30",2020-04-12,"TN",1,0
"31-40",2020-04-12,"TN",1,0
"41-50",2020-04-12,"TN",5,0
"51-60",2020-04-12,"TN",9,0
"61-70",2020-04-12,"TN",27,0
"71-80",2020-04-12,"TN",25,0
"81+",2020-04-12,"TN",32,0
"0-10",2020-04-13,"TN",1,0
"11-20",2020-04-13,"TN",0,0
"21-30",2020-04-13,"TN",1,0
"31-40",2020-04-13,"TN",1,0
"41-50",2020-04-13,"TN",6,1
"51-60",2020-04-13,"TN",9,0
"61-70",2020-04-13,"TN",28,1
"71-80",2020-04-13,"TN",28,3
"81+",2020-04-13,"TN",35,3
"0-10",2020-04-14,"TN",1,0
"11-20",2020-04-14,"TN",0,0
"21-30",2020-04-14,"TN",1,0
"31-40",2020-04-14,"TN",1,0
"41-50",2020-04-14,"TN",7,1
"51-60",2020-04-14,"TN",11,2
"61-70",2020-04-14,"TN",29,1
