"date","code","age","cum.deaths","daily.deaths"
2020-06-15,"WI","0-9",0,NA
2020-06-15,"WI","10-19",0,NA
2020-06-15,"WI","20-29",6,NA
2020-06-15,"WI","30-39",8,NA
2020-06-15,"WI","40-49",22,NA
2020-06-15,"WI","50-59",56,NA
2020-06-15,"WI","60-69",116,NA
2020-06-15,"WI","70-79",185,NA
2020-06-15,"WI","80-89",169,NA
2020-06-15,"WI","90+",132,NA
2020-06-16,"WI","0-9",0,0
2020-06-16,"WI","10-19",0,0
2020-06-16,"WI","20-29",6,0
2020-06-16,"WI","30-39",8,0
2020-06-16,"WI","40-49",22,0
2020-06-16,"WI","50-59",57,1
2020-06-16,"WI","60-69",117,1
2020-06-16,"WI","70-79",188,3
2020-06-16,"WI","80-89",170,1
2020-06-16,"WI","90+",135,3
2020-06-17,"WI","0-9",0,0
2020-06-17,"WI","10-19",0,0
2020-06-17,"WI","20-29",6,0
2020-06-17,"WI","30-39",8,0
2020-06-17,"WI","40-49",22,0
2020-06-17,"WI","50-59",57,0
2020-06-17,"WI","60-69",119,2
2020-06-17,"WI","70-79",188,0
2020-06-17,"WI","80-89",173,3
2020-06-17,"WI","90+",139,4
2020-06-18,"WI","0-9",0,0
2020-06-18,"WI","10-19",0,0
2020-06-18,"WI","20-29",7,1
2020-06-18,"WI","30-39",8,0
2020-06-18,"WI","40-49",22,0
2020-06-18,"WI","50-59",58,1
2020-06-18,"WI","60-69",119,0
2020-06-18,"WI","70-79",190,2
2020-06-18,"WI","80-89",175,2
2020-06-18,"WI","90+",140,1
2020-06-19,"WI","0-9",0,0
2020-06-19,"WI","10-19",0,0
2020-06-19,"WI","20-29",7,0
2020-06-19,"WI","30-39",8,0
2020-06-19,"WI","40-49",22,0
2020-06-19,"WI","50-59",58,0
2020-06-19,"WI","60-69",121,2
2020-06-19,"WI","70-79",193,3
2020-06-19,"WI","80-89",180,5
2020-06-19,"WI","90+",141,1
2020-06-20,"WI","0-9",0,0
2020-06-20,"WI","10-19",0,0
2020-06-20,"WI","20-29",7,0
2020-06-20,"WI","30-39",8,0
2020-06-20,"WI","40-49",22,0
2020-06-20,"WI","50-59",58,0
2020-06-20,"WI","60-69",125,4
2020-06-20,"WI","70-79",196,3
2020-06-20,"WI","80-89",184,4
2020-06-20,"WI","90+",144,3
2020-06-21,"WI","0-9",0,0
2020-06-21,"WI","10-19",0,0
2020-06-21,"WI","20-29",7,0
2020-06-21,"WI","30-39",8,0
2020-06-21,"WI","40-49",22,0
2020-06-21,"WI","50-59",58,0
2020-06-21,"WI","60-69",125,0
2020-06-21,"WI","70-79",196,0
2020-06-21,"WI","80-89",184,0
2020-06-21,"WI","90+",144,0
