"date","code","age","cum.deaths","daily.deaths"
2020-06-15,"WI","0-9",0,NA
2020-06-15,"WI","10-19",0,NA
2020-06-15,"WI","20-29",6,NA
2020-06-15,"WI","30-39",8,NA
2020-06-15,"WI","40-49",22,NA
2020-06-15,"WI","50-59",56,NA
2020-06-15,"WI","60-69",116,NA
2020-06-15,"WI","70-79",185,NA
2020-06-15,"WI","80-89",169,NA
2020-06-15,"WI","90+",132,NA
2020-06-16,"WI","0-9",0,0
2020-06-16,"WI","10-19",0,0
2020-06-16,"WI","20-29",6,0
2020-06-16,"WI","30-39",8,0
2020-06-16,"WI","40-49",22,0
2020-06-16,"WI","50-59",57,1
2020-06-16,"WI","60-69",117,1
2020-06-16,"WI","70-79",188,3
2020-06-16,"WI","80-89",170,1
2020-06-16,"WI","90+",135,3
2020-06-17,"WI","0-9",0,0
2020-06-17,"WI","10-19",0,0
2020-06-17,"WI","20-29",6,0
2020-06-17,"WI","30-39",8,0
2020-06-17,"WI","40-49",22,0
2020-06-17,"WI","50-59",57,0
2020-06-17,"WI","60-69",119,2
2020-06-17,"WI","70-79",188,0
2020-06-17,"WI","80-89",173,3
2020-06-17,"WI","90+",139,4
2020-06-18,"WI","0-9",0,0
2020-06-18,"WI","10-19",0,0
2020-06-18,"WI","20-29",7,1
2020-06-18,"WI","30-39",8,0
2020-06-18,"WI","40-49",22,0
2020-06-18,"WI","50-59",58,1
2020-06-18,"WI","60-69",119,0
2020-06-18,"WI","70-79",190,2
2020-06-18,"WI","80-89",175,2
2020-06-18,"WI","90+",140,1
2020-06-19,"WI","0-9",0,0
2020-06-19,"WI","10-19",0,0
2020-06-19,"WI","20-29",7,0
2020-06-19,"WI","30-39",8,0
2020-06-19,"WI","40-49",22,0
2020-06-19,"WI","50-59",58,0
2020-06-19,"WI","60-69",121,2
2020-06-19,"WI","70-79",193,3
2020-06-19,"WI","80-89",180,5
2020-06-19,"WI","90+",141,1
2020-06-20,"WI","0-9",0,0
2020-06-20,"WI","10-19",0,0
2020-06-20,"WI","20-29",7,0
2020-06-20,"WI","30-39",8,0
2020-06-20,"WI","40-49",22,0
2020-06-20,"WI","50-59",58,0
2020-06-20,"WI","60-69",125,4
2020-06-20,"WI","70-79",196,3
2020-06-20,"WI","80-89",184,4
2020-06-20,"WI","90+",144,3
2020-06-21,"WI","0-9",0,0
2020-06-21,"WI","10-19",0,0
2020-06-21,"WI","20-29",7,0
2020-06-21,"WI","30-39",8,0
2020-06-21,"WI","40-49",22,0
2020-06-21,"WI","50-59",58,0
2020-06-21,"WI","60-69",125,0
2020-06-21,"WI","70-79",196,0
2020-06-21,"WI","80-89",184,0
2020-06-21,"WI","90+",144,0
2020-06-22,"WI","0-9",0,0
2020-06-22,"WI","10-19",0,0
2020-06-22,"WI","20-29",7,0
2020-06-22,"WI","30-39",8,0
2020-06-22,"WI","40-49",22,0
2020-06-22,"WI","50-59",58,0
2020-06-22,"WI","60-69",125,0
2020-06-22,"WI","70-79",197,1
2020-06-22,"WI","80-89",184,0
2020-06-22,"WI","90+",144,0
2020-06-23,"WI","0-9",0,0
2020-06-23,"WI","10-19",0,0
2020-06-23,"WI","20-29",7,0
2020-06-23,"WI","30-39",8,0
2020-06-23,"WI","40-49",22,0
2020-06-23,"WI","50-59",58,0
2020-06-23,"WI","60-69",125,0
2020-06-23,"WI","70-79",200,3
2020-06-23,"WI","80-89",185,1
2020-06-23,"WI","90+",145,1
2020-06-24,"WI","0-9",0,0
2020-06-24,"WI","10-19",0,0
2020-06-24,"WI","20-29",8,1
2020-06-24,"WI","30-39",8,0
2020-06-24,"WI","40-49",22,0
2020-06-24,"WI","50-59",58,0
2020-06-24,"WI","60-69",125,0
2020-06-24,"WI","70-79",200,0
2020-06-24,"WI","80-89",188,3
2020-06-24,"WI","90+",148,3
2020-06-25,"WI","0-9",0,0
2020-06-25,"WI","10-19",0,0
2020-06-25,"WI","20-29",8,0
2020-06-25,"WI","30-39",8,0
2020-06-25,"WI","40-49",23,1
2020-06-25,"WI","50-59",58,0
2020-06-25,"WI","60-69",127,2
2020-06-25,"WI","70-79",200,0
2020-06-25,"WI","80-89",191,3
2020-06-25,"WI","90+",151,3
2020-06-26,"WI","0-9",0,0
2020-06-26,"WI","10-19",0,0
2020-06-26,"WI","20-29",8,0
2020-06-26,"WI","30-39",8,0
2020-06-26,"WI","40-49",23,0
2020-06-26,"WI","50-59",58,0
2020-06-26,"WI","60-69",130,3
2020-06-26,"WI","70-79",200,0
2020-06-26,"WI","80-89",192,1
2020-06-26,"WI","90+",152,1
2020-06-27,"WI","0-9",0,0
2020-06-27,"WI","10-19",0,0
2020-06-27,"WI","20-29",8,0
2020-06-27,"WI","30-39",8,0
2020-06-27,"WI","40-49",23,0
2020-06-27,"WI","50-59",58,0
2020-06-27,"WI","60-69",133,3
2020-06-27,"WI","70-79",200,0
2020-06-27,"WI","80-89",193,1
2020-06-27,"WI","90+",153,1
2020-06-28,"WI","0-9",0,0
2020-06-28,"WI","10-19",0,0
2020-06-28,"WI","20-29",8,0
2020-06-28,"WI","30-39",8,0
2020-06-28,"WI","40-49",23,0
2020-06-28,"WI","50-59",59,1
2020-06-28,"WI","60-69",133,0
2020-06-28,"WI","70-79",200,0
2020-06-28,"WI","80-89",193,0
2020-06-28,"WI","90+",153,0
2020-06-29,"WI","0-9",0,0
2020-06-29,"WI","10-19",0,0
2020-06-29,"WI","20-29",8,0
2020-06-29,"WI","30-39",8,0
2020-06-29,"WI","40-49",23,0
2020-06-29,"WI","50-59",59,0
2020-06-29,"WI","60-69",133,0
2020-06-29,"WI","70-79",200,0
2020-06-29,"WI","80-89",193,0
2020-06-29,"WI","90+",153,0
2020-06-30,"WI","0-9",0,0
2020-06-30,"WI","10-19",0,0
2020-06-30,"WI","20-29",8,0
