"date","code","age","cum.deaths","daily.deaths"
2020-04-30,"MI","0-19",0,NA
2020-04-30,"MI","20-29",0,NA
2020-04-30,"MI","30-39",37,NA
2020-04-30,"MI","40-49",151,NA
2020-04-30,"MI","50-59",303,NA
2020-04-30,"MI","60-69",719,NA
2020-04-30,"MI","70-79",1023,NA
2020-04-30,"MI","80+",1515,NA
2020-05-01,"MI","0-19",0,0
2020-05-01,"MI","20-29",0,0
2020-05-01,"MI","30-39",38,1
2020-05-01,"MI","40-49",115,0
2020-05-01,"MI","50-59",303,0
2020-05-01,"MI","60-69",309,0
2020-05-01,"MI","70-79",1082,59
2020-05-01,"MI","80+",1585,70
2020-05-02,"MI","0-19",0,0
2020-05-02,"MI","20-29",0,0
2020-05-02,"MI","30-39",40,2
2020-05-02,"MI","40-49",120,5
2020-05-02,"MI","50-59",321,18
2020-05-02,"MI","60-69",763,454
2020-05-02,"MI","70-79",1085,3
2020-05-02,"MI","80+",1648,63
2020-05-03,"MI","0-19",0,0
2020-05-03,"MI","20-29",0,0
2020-05-03,"MI","30-39",40,0
2020-05-03,"MI","40-49",121,1
2020-05-03,"MI","50-59",323,2
2020-05-03,"MI","60-69",769,6
2020-05-03,"MI","70-79",1133,48
2020-05-03,"MI","80+",1660,12
2020-05-04,"MI","0-19",0,0
2020-05-04,"MI","20-29",0,0
2020-05-04,"MI","30-39",40,0
2020-05-04,"MI","40-49",121,0
2020-05-04,"MI","50-59",323,0
2020-05-04,"MI","60-69",769,0
2020-05-04,"MI","70-79",1133,0
2020-05-04,"MI","80+",1660,0
2020-05-05,"MI","0-19",0,0
2020-05-05,"MI","20-29",0,0
2020-05-05,"MI","30-39",41,1
2020-05-05,"MI","40-49",125,4
2020-05-05,"MI","50-59",334,11
2020-05-05,"MI","60-69",752,0
2020-05-05,"MI","70-79",1170,37
2020-05-05,"MI","80+",1713,53
2020-05-06,"MI","0-19",0,0
2020-05-06,"MI","20-29",0,0
2020-05-06,"MI","30-39",42,1
2020-05-06,"MI","40-49",127,2
2020-05-06,"MI","50-59",340,6
2020-05-06,"MI","60-69",807,55
2020-05-06,"MI","70-79",1190,2
2020-05-06,"MI","80+",1742,29
2020-05-07,"MI","0-19",0,0
2020-05-07,"MI","20-29",0,0
2020-05-07,"MI","30-39",43,1
2020-05-07,"MI","40-49",130,3
2020-05-07,"MI","50-59",347,7
2020-05-07,"MI","60-69",825,0
2020-05-07,"MI","70-79",1172,0
2020-05-07,"MI","80+",1780,38
2020-05-08,"MI","0-19",0,0
2020-05-08,"MI","20-29",0,0
2020-05-08,"MI","30-39",43,0
2020-05-08,"MI","40-49",131,1
2020-05-08,"MI","50-59",351,4
2020-05-08,"MI","60-69",790,0
2020-05-08,"MI","70-79",1186,14
2020-05-08,"MI","80+",1801,21
2020-05-09,"MI","0-19",0,0
2020-05-09,"MI","20-29",0,0
2020-05-09,"MI","30-39",45,2
2020-05-09,"MI","40-49",135,4
2020-05-09,"MI","50-59",362,11
