"age","code","date","daily.deaths","cum.deaths"
"0-9","RI",2020-06-01,NA,0
"10-18","RI",2020-06-01,NA,0
"19-29","RI",2020-06-01,NA,0
"30-39","RI",2020-06-01,NA,6
"40-49","RI",2020-06-01,NA,9
"50-59","RI",2020-06-01,NA,35
"60-69","RI",2020-06-01,NA,74
"70-79","RI",2020-06-01,NA,185
"80-89","RI",2020-06-01,NA,226
"90+","RI",2020-06-01,NA,182
"0-9","RI",2020-06-02,0,0
"0-9","RI",2020-06-03,0,0
"0-9","RI",2020-06-04,0,0
"0-9","RI",2020-06-05,0,0
"0-9","RI",2020-06-06,0,0
"0-9","RI",2020-06-07,0,0
"10-18","RI",2020-06-02,0,0
"10-18","RI",2020-06-03,0,0
"10-18","RI",2020-06-04,0,0
"10-18","RI",2020-06-05,0,0
"10-18","RI",2020-06-06,0,0
"10-18","RI",2020-06-07,0,0
"19-29","RI",2020-06-02,0,0
"19-29","RI",2020-06-03,0,0
"19-29","RI",2020-06-04,0,0
"19-29","RI",2020-06-05,0,0
"19-29","RI",2020-06-06,0,0
"19-29","RI",2020-06-07,0,0
"30-39","RI",2020-06-02,0,6
"30-39","RI",2020-06-03,0,6
"30-39","RI",2020-06-04,0,6
"30-39","RI",2020-06-05,0,6
"30-39","RI",2020-06-06,0,6
"30-39","RI",2020-06-07,0,6
"40-49","RI",2020-06-02,0,9
"40-49","RI",2020-06-03,0,9
"40-49","RI",2020-06-04,0,9
"40-49","RI",2020-06-05,0,9
"40-49","RI",2020-06-06,0,9
"40-49","RI",2020-06-07,0,9
"50-59","RI",2020-06-02,0,35
"50-59","RI",2020-06-03,0,35
"50-59","RI",2020-06-04,0,35
"50-59","RI",2020-06-05,0,35
"50-59","RI",2020-06-06,0,35
"50-59","RI",2020-06-07,0,35
"60-69","RI",2020-06-02,1,75
"60-69","RI",2020-06-03,1,76
"60-69","RI",2020-06-04,1,77
"60-69","RI",2020-06-05,1,78
"60-69","RI",2020-06-06,0,78
"60-69","RI",2020-06-07,0,78
"70-79","RI",2020-06-02,4,189
"70-79","RI",2020-06-03,4,193
"70-79","RI",2020-06-04,4,197
"70-79","RI",2020-06-05,4,201
