"age","cum.deaths","daily.deaths","code","date"
"0-4",0,NA,"DE",2020-05-12
"5-19",0,NA,"DE",2020-05-12
"20-34",7,NA,"DE",2020-05-12
"35-49",6,NA,"DE",2020-05-12
"50-64",34,NA,"DE",2020-05-12
"65+",200,NA,"DE",2020-05-12
"0-4",0,0,"DE",2020-05-13
"5-19",0,0,"DE",2020-05-13
"20-34",8,1,"DE",2020-05-13
"35-49",6,0,"DE",2020-05-13
"50-64",35,1,"DE",2020-05-13
"65+",211,11,"DE",2020-05-13
"0-4",0,0,"DE",2020-05-14
"5-19",0,0,"DE",2020-05-14
"20-34",8,0,"DE",2020-05-14
"35-49",6,0,"DE",2020-05-14
"50-64",38,3,"DE",2020-05-14
"65+",219,8,"DE",2020-05-14
"0-4",0,0,"DE",2020-05-15
"5-19",0,0,"DE",2020-05-15
"20-34",8,0,"DE",2020-05-15
"35-49",6,0,"DE",2020-05-15
"50-64",43,5,"DE",2020-05-15
"65+",229,10,"DE",2020-05-15
"0-4",0,0,"DE",2020-05-16
"5-19",0,0,"DE",2020-05-16
"20-34",8,0,"DE",2020-05-16
"35-49",7,1,"DE",2020-05-16
"50-64",44,1,"DE",2020-05-16
"65+",231,2,"DE",2020-05-16
"0-4",0,0,"DE",2020-05-17
"5-19",0,0,"DE",2020-05-17
"20-34",8,0,"DE",2020-05-17
"35-49",7,0,"DE",2020-05-17
"50-64",45,1,"DE",2020-05-17
"65+",237,6,"DE",2020-05-17
"0-4",0,0,"DE",2020-05-18
"5-19",0,0,"DE",2020-05-18
"20-34",8,0,"DE",2020-05-18
"35-49",8,1,"DE",2020-05-18
"50-64",46,1,"DE",2020-05-18
"65+",242,5,"DE",2020-05-18
"0-4",0,0,"DE",2020-05-19
"5-19",0,0,"DE",2020-05-19
"20-34",8,0,"DE",2020-05-19
"35-49",8,0,"DE",2020-05-19
"50-64",48,2,"DE",2020-05-19
"65+",246,4,"DE",2020-05-19
"0-4",0,0,"DE",2020-05-20
"5-19",0,0,"DE",2020-05-20
"20-34",8,0,"DE",2020-05-20
"35-49",8,0,"DE",2020-05-20
"50-64",49,1,"DE",2020-05-20
"65+",252,6,"DE",2020-05-20
"0-4",0,0,"DE",2020-05-21
"5-19",0,0,"DE",2020-05-21
"20-34",8,0,"DE",2020-05-21
"35-49",8,1,"DE",2020-05-21
"50-64",49,1,"DE",2020-05-21
"65+",253,2,"DE",2020-05-21
"0-4",0,0,"DE",2020-05-22
"5-19",0,0,"DE",2020-05-22
"20-34",8,0,"DE",2020-05-22
"35-49",9,0,"DE",2020-05-22
"50-64",50,0,"DE",2020-05-22
"65+",255,1,"DE",2020-05-22
"0-4",0,0,"DE",2020-05-23
"5-19",0,0,"DE",2020-05-23
"20-34",8,0,"DE",2020-05-23
"35-49",9,0,"DE",2020-05-23
"50-64",50,0,"DE",2020-05-23
"65+",257,2,"DE",2020-05-23
"0-4",0,0,"DE",2020-05-24
"5-19",0,0,"DE",2020-05-24
"20-34",8,0,"DE",2020-05-24
"35-49",9,0,"DE",2020-05-24
"50-64",50,0,"DE",2020-05-24
"65+",258,1,"DE",2020-05-24
"0-4",0,0,"DE",2020-05-25
"5-19",0,0,"DE",2020-05-25
"20-34",8,0,"DE",2020-05-25
"35-49",9,0,"DE",2020-05-25
"50-64",50,0,"DE",2020-05-25
"65+",264,6,"DE",2020-05-25
"0-4",0,0,"DE",2020-05-26
"5-19",0,0,"DE",2020-05-26
"20-34",8,0,"DE",2020-05-26
"35-49",9,0,"DE",2020-05-26
"50-64",50,0,"DE",2020-05-26
"65+",268,4,"DE",2020-05-26
"0-4",0,0,"DE",2020-05-27
"5-19",0,0,"DE",2020-05-27
"20-34",8,0,"DE",2020-05-27
"35-49",9,0,"DE",2020-05-27
"50-64",53,3,"DE",2020-05-27
"65+",274,6,"DE",2020-05-27
"0-4",0,0,"DE",2020-05-28
"5-19",0,0,"DE",2020-05-28
"20-34",8,0,"DE",2020-05-28
"35-49",9,0,"DE",2020-05-28
"50-64",53,0,"DE",2020-05-28
"65+",275,1,"DE",2020-05-28
"0-4",0,0,"DE",2020-05-29
"5-19",0,0,"DE",2020-05-29
"20-34",8,0,"DE",2020-05-29
"35-49",10,1,"DE",2020-05-29
"50-64",54,1,"DE",2020-05-29
"65+",284,9,"DE",2020-05-29
"0-4",0,0,"DE",2020-05-30
"5-19",0,0,"DE",2020-05-30
"20-34",8,0,"DE",2020-05-30
"35-49",10,0,"DE",2020-05-30
"50-64",56,2,"DE",2020-05-30
"65+",287,3,"DE",2020-05-30
"0-4",0,0,"DE",2020-05-31
"5-19",0,0,"DE",2020-05-31
"20-34",8,0,"DE",2020-05-31
"35-49",10,0,"DE",2020-05-31
"50-64",56,0,"DE",2020-05-31
"65+",292,5,"DE",2020-05-31
"0-4",0,0,"DE",2020-06-01
"5-19",0,0,"DE",2020-06-01
"20-34",9,1,"DE",2020-06-01
"35-49",10,0,"DE",2020-06-01
"50-64",56,0,"DE",2020-06-01
"65+",293,1,"DE",2020-06-01
"0-4",0,0,"DE",2020-06-02
"5-19",0,0,"DE",2020-06-02
"20-34",9,0,"DE",2020-06-02
"35-49",10,0,"DE",2020-06-02
"50-64",56,0,"DE",2020-06-02
"65+",298,5,"DE",2020-06-02
"0-4",0,0,"DE",2020-06-03
"5-19",0,0,"DE",2020-06-03
"20-34",10,1,"DE",2020-06-03
"35-49",10,0,"DE",2020-06-03
"50-64",56,0,"DE",2020-06-03
"65+",299,1,"DE",2020-06-03
"0-4",0,0,"DE",2020-06-04
"5-19",0,0,"DE",2020-06-04
"20-34",10,0,"DE",2020-06-04
"35-49",10,0,"DE",2020-06-04
"50-64",56,0,"DE",2020-06-04
"65+",310,11,"DE",2020-06-04
"0-4",0,0,"DE",2020-06-05
"5-19",0,0,"DE",2020-06-05
"20-34",10,0,"DE",2020-06-05
"35-49",10,0,"DE",2020-06-05
"50-64",56,0,"DE",2020-06-05
"65+",312,2,"DE",2020-06-05
"0-4",0,0,"DE",2020-06-06
"5-19",0,0,"DE",2020-06-06
"20-34",10,0,"DE",2020-06-06
"35-49",10,0,"DE",2020-06-06
"50-64",57,1,"DE",2020-06-06
"65+",313,1,"DE",2020-06-06
"0-4",0,0,"DE",2020-06-07
"5-19",0,0,"DE",2020-06-07
"20-34",10,0,"DE",2020-06-07
"35-49",12,2,"DE",2020-06-07
"50-64",58,1,"DE",2020-06-07
"65+",318,5,"DE",2020-06-07
"0-4",0,0,"DE",2020-06-08
"5-19",0,0,"DE",2020-06-08
"20-34",10,0,"DE",2020-06-08
"35-49",12,0,"DE",2020-06-08
"50-64",58,0,"DE",2020-06-08
"65+",318,0,"DE",2020-06-08
"0-4",0,0,"DE",2020-06-09
"5-19",0,0,"DE",2020-06-09
"20-34",11,1,"DE",2020-06-09
"35-49",12,0,"DE",2020-06-09
"50-64",59,1,"DE",2020-06-09
"65+",328,10,"DE",2020-06-09
"0-4",0,0,"DE",2020-06-10
"5-19",0,0,"DE",2020-06-10
"20-34",11,0,"DE",2020-06-10
"35-49",12,0,"DE",2020-06-10
"50-64",59,0,"DE",2020-06-10
"65+",331,3,"DE",2020-06-10
"0-4",0,0,"DE",2020-06-11
"5-19",0,0,"DE",2020-06-11
"20-34",11,0,"DE",2020-06-11
"35-49",12,0,"DE",2020-06-11
"50-64",60,1,"DE",2020-06-11
"65+",331,0,"DE",2020-06-11
"0-4",0,0,"DE",2020-06-12
"5-19",0,0,"DE",2020-06-12
"20-34",11,0,"DE",2020-06-12
"35-49",12,0,"DE",2020-06-12
"50-64",60,0,"DE",2020-06-12
"65+",331,0,"DE",2020-06-12
"0-4",0,0,"DE",2020-06-13
"5-19",0,0,"DE",2020-06-13
"20-34",11,0,"DE",2020-06-13
"35-49",12,0,"DE",2020-06-13
"50-64",60,0,"DE",2020-06-13
"65+",336,5,"DE",2020-06-13
"0-4",0,0,"DE",2020-06-14
"5-19",0,0,"DE",2020-06-14
"20-34",11,0,"DE",2020-06-14
"35-49",12,0,"DE",2020-06-14
"50-64",60,0,"DE",2020-06-14
"65+",339,3,"DE",2020-06-14
"0-4",0,0,"DE",2020-06-15
"5-19",0,0,"DE",2020-06-15
"20-34",11,0,"DE",2020-06-15
"35-49",12,0,"DE",2020-06-15
"50-64",61,1,"DE",2020-06-15
"65+",339,0,"DE",2020-06-15
"0-4",0,0,"DE",2020-06-16
"5-19",0,0,"DE",2020-06-16
"20-34",11,0,"DE",2020-06-16
"35-49",12,0,"DE",2020-06-16
"50-64",61,0,"DE",2020-06-16
"65+",340,1,"DE",2020-06-16
"0-4",0,0,"DE",2020-06-17
"5-19",0,0,"DE",2020-06-17
"20-34",11,0,"DE",2020-06-17
"35-49",13,1,"DE",2020-06-17
"50-64",61,0,"DE",2020-06-17
"65+",341,1,"DE",2020-06-17
"0-4",0,0,"DE",2020-06-18
"5-19",0,0,"DE",2020-06-18
"20-34",11,0,"DE",2020-06-18
"35-49",13,0,"DE",2020-06-18
"50-64",61,0,"DE",2020-06-18
"65+",346,5,"DE",2020-06-18
