GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,NEGATIVE,NEG_NEW,DEATHS,DTH_NEW,TEST_NEW,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,IP_Y_0_9,IP_Y_10_19,IP_Y_20_29,IP_Y_30_39,IP_Y_40_49,IP_Y_50_59,IP_Y_60_69,IP_Y_70_79,IP_Y_80_89,IP_Y_90,IP_N_0_9,IP_N_10_19,IP_N_20_29,IP_N_30_39,IP_N_40_49,IP_N_50_59,IP_N_60_69,IP_N_70_79,IP_N_80_89,IP_N_90,IP_U_0_9,IP_U_10_19,IP_U_20_29,IP_U_30_39,IP_U_40_49,IP_U_50_59,IP_U_60_69,IP_U_70_79,IP_U_80_89,IP_U_90,IC_YES,IC_Y_0_9,IC_Y_10_19,IC_Y_20_29,IC_Y_30_39,IC_Y_40_49,IC_Y_50_59,IC_Y_60_69,IC_Y_70_79,IC_Y_80_89,IC_Y_90,OBJECTID
55,State,WI,2020/06/04 19:00:00+00,19892,492,291367,11656,626,10,12148,2739,11066,6087,10057,9778,57,548,1333,3548,3665,3343,3026,2148,1162,747,372,280,346,0,0,0,6,8,18,51,99,162,157,125,215,735,3819,10312,2607,2204,6712,10761,2419,9,17,154,426,7,13,63,547,16,1988,11044,6860,17,35,134,203,324,478,589,501,331,127,313,782,2214,2195,1985,1733,1070,409,235,130,218,516,1200,1267,1034,815,489,252,181,115,616,1,3,20,31,74,111,174,118,60,24,10568
55,State,WI,2020/04/25 19:00:00+00,5687,331,57138,2565,266,4,2896,1376,3209,1102,2953,2734,,42,130,801,893,956,1077,841,508,312,127,110,156,,0,0,2,4,10,22,46,81,60,41,53,170,1366,3001,373,724,1247,3656,784,3,5,90,162,2,4,16,242,8,885,3233,1569,4,7,49,87,142,250,304,291,183,59,29,85,564,618,639,613,402,147,69,43,9,38,188,188,175,214,135,70,60,25,353,0,0,6,19,34,69,100,75,37,13,13017
55,State,WI,2020/04/26 19:00:00+00,5911,224,59235,2097,272,6,2321,1397,3308,1206,3072,2839,,50,139,847,928,998,1114,859,523,320,133,112,160,,0,0,2,4,9,23,46,83,63,42,56,174,1414,3083,403,781,1338,3734,839,3,5,94,165,1,4,16,248,8,895,3277,1739,4,7,50,88,145,252,305,299,186,61,32,89,582,637,656,631,411,153,71,46,14,43,215,203,197,231,143,71,63,26,353,0,0,6,19,34,69,100,75,37,13,13976
55,State,WI,2020/04/27 19:00:00+00,6081,170,61311,2076,281,9,2246,1415,3458,1208,3160,2921,,53,148,875,958,1042,1135,877,534,324,135,116,165,,0,0,2,4,9,24,47,87,66,42,57,185,1438,3154,444,803,1417,3805,859,3,5,95,171,2,5,17,255,9,909,3385,1787,5,7,53,90,146,255,307,300,190,62,35,99,615,661,690,655,427,157,73,46,13,42,207,207,206,225,143,77,61,27,355,0,0,6,19,34,71,101,74,37,13,16808
55,State,WI,2020/04/28 19:00:00+00,6289,208,63535,2224,300,19,2432,1456,3618,1215,3252,3037,,57,159,905,1010,1079,1164,898,547,333,137,120,180,,0,0,2,4,9,26,48,93,73,45,60,197,1486,3316,459,771,1509,3944,836,4,5,99,182,3,7,17,271,12,931,3536,1822,5,9,57,94,151,258,315,307,196,64,37,110,646,695,722,679,443,163,75,48,15,40,202,221,206,227,140,77,62,25,363,0,0,7,19,35,73,103,75,37,14,16926
55,State,WI,2020/04/29 19:00:00+00,6520,231,66630,3095,308,8,3326,1489,3755,1276,3346,3174,,60,166,934,1051,1128,1202,935,556,345,143,124,184,,0,0,3,4,9,26,48,96,77,45,61,205,1517,3449,470,818,1602,4047,871,4,5,101,187,3,8,17,277,14,955,3685,1880,5,9,58,94,155,263,327,313,199,66,38,112,678,726,753,703,456,164,77,48,17,45,198,231,220,236,152,79,69,29,373,0,1,7,19,36,75,105,78,38,14,18401
55,State,WI,2020/04/30 19:00:00+00,6854,334,69394,2764,316,8,3098,1512,3954,1388,3514,3340,,63,182,994,1119,1197,1257,977,569,349,147,124,192,,0,0,3,4,9,26,49,100,77,48,67,221,1607,3613,513,833,1725,4272,857,4,5,102,191,3,11,17,281,18,981,3841,2032,5,9,60,95,158,268,335,314,201,67,39,121,704,767,794,743,484,171,81,50,19,52,230,257,245,246,158,84,67,30,382,0,1,8,19,37,75,108,81,39,14,20752
55,State,WI,2020/05/01 19:00:00+00,7314,460,72566,3172,327,11,3632,1544,4215,1555,3699,3615,,73,208,1084,1199,1277,1320,1010,596,379,168,127,200,,0,0,3,4,9,30,52,101,80,48,69,238,1667,3866,601,873,1878,4539,897,4,5,104,201,2,11,20,286,21,1026,4056,2232,6,11,60,98,161,274,338,316,209,71,41,136,756,819,846,790,503,178,89,57,26,61,268,282,270,256,169,102,81,40,391,0,1,8,19,37,77,110,82,42,15,21351
55,State,WI,2020/05/02 19:00:00+00,7660,346,75570,3004,334,7,3350,1591,4438,1631,3861,3799,,82,228,1145,1261,1337,1387,1049,609,389,173,133,201,,0,0,3,4,10,30,51,101,82,53,73,259,1718,4039,692,879,2024,4702,934,4,6,105,208,2,9,21,296,17,1051,4255,2354,7,12,65,103,168,282,350,317,213,74,51,153,805,853,884,827,528,186,93,58,24,63,275,305,285,278,171,106,83,41,400,0,1,9,19,40,77,113,83,43,15,22826
55,State,WI,2020/05/03 19:00:00+00,7964,304,77997,2427,339,5,2731,1608,4582,1774,3997,3967,,86,245,1211,1308,1390,1441,1079,629,397,178,135,204,,0,0,3,4,10,30,52,101,82,57,76,271,1754,4155,739,969,2114,4814,1036,4,6,106,212,2,9,22,299,18,1075,4351,2538,7,12,65,105,170,284,355,321,215,74,51,162,841,876,909,857,539,193,94,60,28,71,305,327,311,300,185,115,88,44,402,0,1,9,19,41,77,113,84,43,15,24560
55,State,WI,2020/05/04 19:00:00+00,8236,272,80467,2470,340,1,2742,1621,4736,1879,4133,4103,,89,267,1263,1355,1443,1486,1108,637,403,185,136,204,,0,0,3,4,10,30,53,101,82,57,82,279,1786,4285,769,1035,2209,4926,1101,4,6,107,212,2,9,22,301,17,1085,4453,2698,7,13,67,107,172,285,358,321,215,76,53,175,873,903,941,876,551,200,100,64,29,79,323,345,330,325,199,116,88,45,404,0,1,10,19,41,77,114,84,43,15,25776
55,State,WI,2020/05/05 19:00:00+00,8566,330,83967,3500,353,13,3830,1663,4974,1929,4304,4249,13,104,303,1322,1423,1488,1538,1136,656,412,184,144,209,0,0,0,4,4,11,32,55,103,85,59,88,294,1855,4557,833,939,2391,5129,1046,4,6,108,227,3,5,30,314,9,1123,4683,2760,7,15,71,110,178,286,369,330,220,77,68,202,910,955,983,914,565,211,105,61,29,86,341,358,327,338,202,115,87,46,414,0,1,11,20,43,78,116,85,45,15,28504
55,State,WI,2020/05/06 19:00:00+00,8901,335,87826,3859,362,9,4194,1694,5207,2000,4476,4407,18,115,325,1390,1492,1533,1591,1181,667,419,188,149,213,0,0,0,4,4,11,32,56,106,87,62,90,319,1903,4751,867,971,2539,5311,1051,4,6,109,235,3,5,30,323,9,1149,4932,2820,7,15,71,114,182,293,375,334,225,78,76,218,960,1010,1014,957,590,217,104,61,32,92,359,368,337,341,216,116,90,49,423,0,1,11,20,46,80,119,85,46,15,28726
55,State,WI,2020/05/07 19:00:00+00,9215,314,93035,5209,374,12,5523,1732,5447,2036,4612,4588,15,118,344,1452,1562,1595,1627,1214,685,424,194,156,218,0,0,0,4,5,11,33,57,110,91,63,100,335,1956,5009,931,884,2699,5589,927,4,6,112,244,3,5,32,335,7,1181,5187,2847,7,15,74,117,191,300,386,338,225,79,81,240,1012,1073,1062,988,608,217,105,61,30,89,366,372,342,339,220,130,94,54,435,0,1,12,20,48,81,125,87,46,15,30201
55,State,WI,2020/05/16 19:00:00+00,12187,502,134206,5549,453,8,6051,2018,7107,3062,6171,5995,21,219,600,2012,2129,2081,2022,1491,832,537,264,191,262,0,0,0,4,5,11,39,72,128,109,85,141,452,2479,6531,1286,1298,3766,7072,1349,5,9,131,299,3,6,34,411,8,1426,6948,3813,9,18,89,134,233,348,450,391,259,87,137,399,1366,1418,1333,1192,745,270,150,97,73,183,557,577,515,482,296,171,128,80,488,0,1,15,23,58,90,137,98,49,17,33611
55,State,WI,2020/05/17 19:00:00+00,12543,356,139674,5468,453,0,5824,2038,7232,3273,6360,6163,20,225,626,2093,2201,2150,2055,1521,850,553,269,191,262,0,0,0,4,5,11,39,72,128,109,85,147,458,2517,6677,1378,1366,3875,7195,1473,5,9,131,299,3,6,34,411,8,1451,7059,4033,9,19,89,135,237,354,451,394,262,88,140,404,1394,1447,1357,1211,755,276,151,97,76,203,610,619,556,490,315,180,140,84,494,0,1,16,23,58,92,137,99,50,18,34554
55,State,WI,2020/05/18 19:00:00+00,12687,144,144502,4828,459,6,4972,2068,7309,3310,6447,6219,21,229,637,2110,2223,2179,2078,1540,860,559,272,193,266,0,0,0,4,5,11,39,75,129,111,85,146,468,2545,6764,1387,1377,3917,7275,1495,5,10,132,302,3,7,36,415,8,1473,7135,4079,10,20,91,139,241,359,454,398,265,91,144,408,1406,1460,1378,1223,761,279,153,97,75,209,613,624,560,496,325,183,141,84,496,0,1,16,23,59,92,138,99,50,18,37419
55,State,WI,2020/05/19 19:00:00+00,12885,198,148237,3735,467,8,3933,2110,7479,3296,6558,6306,21,234,653,2147,2261,2210,2102,1564,872,567,275,198,269,0,0,0,4,5,12,40,77,129,114,86,148,488,2587,6928,1415,1319,4028,7457,1400,6,11,132,309,3,6,40,420,7,1496,7361,4028,10,21,93,148,249,363,466,402,267,91,151,425,1441,1495,1409,1248,771,283,157,99,73,207,613,618,552,491,327,187,143,85,503,0,1,16,23,60,94,139,101,51,18,37504
55,State,WI,2020/05/20 19:00:00+00,13413,528,154300,6063,481,14,6591,2161,7713,3539,6820,6569,24,257,695,2250,2366,2288,2176,1617,903,578,283,203,278,0,0,0,4,5,13,44,81,133,115,86,151,504,2684,7136,1497,1441,4193,7688,1532,6,12,136,316,4,7,42,431,8,1532,7607,4274,10,22,96,154,252,369,475,414,275,94,156,448,1489,1534,1443,1290,804,293,156,100,91,225,665,678,593,517,338,196,147,89,515,0,2,17,24,61,94,142,103,53,19,38979
55,State,WI,2020/05/21 19:00:00+00,13885,472,163238,8938,487,6,9410,2218,7965,3702,7056,6805,24,277,741,2335,2462,2360,2247,1649,921,603,290,206,281,0,0,0,4,5,13,44,80,135,116,90,162,523,2743,7389,1584,1484,4413,7898,1574,6,12,136,324,2,7,40,440,7,1570,7921,4394,11,24,105,159,255,383,484,420,280,97,169,478,1527,1574,1485,1331,820,308,170,103,97,239,703,729,620,533,345,193,153,90,526,0,2,18,26,62,96,146,104,53,19,41363
55,State,WI,2020/05/22 19:00:00+00,14396,511,172703,9465,496,9,9976,2259,8198,3939,7314,7054,28,293,790,2435,2565,2446,2315,1694,942,617,299,211,285,0,0,0,4,5,13,44,80,135,121,94,164,541,2860,7675,1687,1469,4617,8209,1570,7,12,137,331,2,7,40,449,7,1619,8197,4580,12,25,108,161,260,391,491,427,281,103,178,505,1570,1625,1526,1360,843,317,174,100,103,260,757,779,660,564,360,198,162,96,535,1,2,18,26,63,98,148,104,54,21,41929
55,State,WI,2020/05/23 19:00:00+00,14877,481,179329,6626,507,11,7107,2292,8473,4112,7545,7300,32,314,830,2532,2661,2532,2390,1733,953,629,303,216,291,0,0,0,4,7,14,44,83,137,124,94,169,560,2949,7888,1806,1505,4846,8433,1598,8,13,139,337,2,8,44,456,7,1652,8472,4753,13,26,108,166,265,395,497,430,287,105,195,525,1631,1667,1578,1392,867,328,184,106,106,279,793,828,689,603,369,195,158,92,542,1,2,18,27,63,99,152,105,54,21,43404
55,State,WI,2020/05/24 19:00:00+00,15277,400,186206,6877,510,3,7277,2315,8606,4356,7732,7499,46,341,862,2635,2739,2600,2443,1755,964,635,303,217,293,0,0,0,4,7,14,44,83,137,126,95,173,577,3024,8043,1875,1585,5001,8605,1671,8,13,139,339,2,9,45,457,8,1671,8596,5010,14,27,112,172,268,399,499,432,287,105,202,532,1674,1686,1600,1407,881,332,186,106,125,303,849,881,732,637,375,200,162,92,541,1,2,18,27,63,99,152,104,54,21,45171
55,State,WI,2020/05/25 19:00:00+00,15584,307,193379,7173,514,4,7480,2339,8683,4562,7878,7657,49,349,897,2689,2799,2652,2487,1778,982,643,308,220,294,0,0,0,4,7,15,44,83,137,128,96,177,586,3073,8159,1946,1643,5111,8732,1741,8,13,139,342,2,10,46,459,9,1686,8670,5228,14,29,112,172,270,405,503,437,292,105,207,534,1697,1707,1613,1413,888,333,185,106,128,334,880,920,769,669,387,212,166,97,543,1,2,18,27,63,100,152,105,54,21,46354
55,State,WI,2020/05/26 19:00:00+00,15863,279,200874,7495,517,3,7774,2362,8755,4746,8013,7800,50,362,919,2745,2860,2689,2527,1808,997,647,309,221,296,0,0,0,4,7,15,44,84,137,130,96,178,598,3117,8279,2026,1665,5220,8860,1783,8,13,139,345,2,10,46,462,9,1698,8753,5412,14,30,112,173,275,409,509,440,295,105,210,542,1709,1722,1623,1425,895,338,185,106,138,347,924,965,791,693,404,219,167,98,544,1,2,18,27,64,100,152,105,54,21,49115
55,State,WI,2020/05/27 19:00:00+00,16462,599,210605,9731,539,22,10330,2411,9035,5016,8350,8064,48,398,1002,2866,2956,2772,2603,1857,1023,662,323,231,308,0,0,0,5,7,16,46,86,141,138,100,186,618,3234,8576,2092,1756,5470,9154,1838,9,14,141,361,2,12,47,480,12,1731,9019,5712,14,33,114,174,280,424,520,446,298,108,224,570,1761,1775,1660,1471,923,345,197,109,160,399,991,1007,832,708,414,232,167,106,550,1,3,18,28,64,102,152,107,54,21,49304
55,State,WI,2020/05/28 19:00:00+00,16974,512,220719,10114,550,11,10626,2452,9366,5156,8623,8306,45,412,1053,2962,3056,2842,2660,1913,1049,692,335,238,312,0,0,0,5,8,16,47,88,142,140,104,191,633,3293,8864,2146,1847,5649,9362,1963,9,15,142,369,2,13,49,486,15,1782,9376,5816,13,33,117,176,284,428,530,457,301,113,235,603,1826,1842,1708,1525,952,352,211,112,164,417,1019,1038,850,707,431,240,180,110,556,1,3,19,29,64,103,154,108,54,21,50779
55,State,WI,2020/05/08 19:00:00+00,9590,375,97265,4230,384,10,4605,1767,5652,2171,4805,4767,18,124,375,1509,1625,1662,1677,1259,712,440,207,162,222,0,0,0,4,5,11,33,58,111,96,66,111,349,2031,5190,988,921,2832,5774,984,4,6,115,251,3,5,32,346,6,1210,5422,2958,7,15,77,119,194,305,398,344,227,81,83,257,1058,1109,1104,1020,630,223,107,61,34,103,374,397,364,352,231,145,106,65,441,0,1,13,20,50,82,125,89,46,15,53103
55,State,WI,2020/05/09 19:00:00+00,9939,349,101935,4670,398,14,5019,1806,5878,2255,4984,4928,27,136,403,1603,1692,1714,1718,1290,724,446,213,169,229,0,0,0,4,5,11,33,61,117,96,71,114,357,2076,5377,1020,995,2980,5924,1035,5,6,116,265,2,4,32,360,6,1237,5635,3067,7,15,80,122,201,310,408,352,228,83,84,279,1113,1147,1148,1054,646,228,112,67,45,109,410,423,365,354,236,144,106,63,452,0,1,14,21,52,86,126,91,46,15,53942
55,State,WI,2020/05/10 19:00:00+00,10219,280,105163,3228,400,2,3508,1820,5976,2423,5135,5061,23,145,434,1662,1747,1761,1751,1321,732,452,214,169,231,0,0,0,4,5,11,34,61,117,97,71,119,365,2111,5504,1059,1061,3070,6014,1135,5,6,117,266,2,4,32,362,6,1251,5717,3251,7,15,80,123,206,310,410,356,230,83,88,293,1132,1160,1168,1068,658,230,112,67,50,126,450,464,387,373,253,146,110,64,456,0,1,14,21,54,86,126,92,46,16,55417
55,State,WI,2020/05/11 19:00:00+00,10418,199,108033,2870,409,9,3069,1846,6080,2492,5244,5146,28,150,450,1698,1789,1796,1776,1334,745,461,219,174,235,0,0,0,4,5,11,34,61,119,100,75,121,374,2160,5637,1077,1049,3141,6151,1126,5,6,117,275,2,4,32,369,8,1269,5813,3336,7,16,82,127,208,316,413,360,234,83,91,299,1156,1186,1187,1074,663,235,115,74,52,135,460,476,401,386,258,150,112,62,460,0,1,15,22,54,86,127,93,46,16,57047
55,State,WI,2020/05/12 19:00:00+00,10611,193,112748,4715,418,9,4908,1877,6221,2513,5342,5244,25,158,469,1726,1827,1830,1796,1353,755,471,226,176,242,0,0,0,4,5,11,33,64,122,101,78,122,381,2218,5728,1104,1058,3236,6261,1114,5,7,119,281,2,4,32,378,8,1291,5989,3331,7,16,83,127,215,321,420,367,237,84,102,318,1178,1226,1203,1087,673,237,121,76,49,135,465,474,412,388,260,151,113,66,464,0,1,15,22,55,86,129,94,46,16,58367
55,State,WI,2020/05/13 19:00:00+00,10902,291,117111,4363,421,3,4654,1908,6400,2594,5495,5387,20,170,493,1761,1886,1880,1854,1380,764,486,228,178,243,0,0,0,4,5,11,35,64,123,101,78,128,396,2258,5869,1130,1121,3357,6400,1145,5,8,120,280,2,6,31,382,8,1333,6204,3365,7,18,82,130,219,328,430,369,241,84,111,336,1218,1272,1226,1105,686,242,126,78,52,139,461,484,435,421,264,153,119,66,469,0,1,15,23,55,87,132,94,46,16,60855
55,State,WI,2020/05/14 19:00:00+00,11275,373,122598,5487,434,13,5860,1939,6627,2709,5691,5561,23,187,523,1844,1960,1931,1901,1420,780,495,234,185,249,0,0,0,4,5,11,36,68,125,103,82,128,420,2316,6076,1168,1167,3489,6620,1166,5,9,123,289,2,6,31,394,9,1359,6475,3441,9,18,84,131,223,334,435,377,244,84,117,355,1271,1316,1256,1135,716,248,131,82,61,150,489,513,452,432,269,155,120,68,478,0,1,15,23,56,91,134,96,46,16,61317
55,State,WI,2020/05/15 19:00:00+00,11685,410,128657,6059,445,11,6469,1977,6854,2854,5892,5771,22,208,567,1929,2033,2007,1952,1438,796,514,241,189,256,0,0,0,4,5,11,37,70,126,109,83,133,430,2381,6281,1236,1224,3624,6801,1260,5,9,129,293,3,6,33,403,9,1391,6698,3596,9,18,88,132,229,340,442,379,254,86,130,380,1314,1366,1289,1165,728,256,139,87,69,169,527,535,489,447,268,161,121,68,485,0,1,15,23,57,90,137,97,48,17,62792
55,State,WI,2020/03/18 19:00:00+00,106,34,1577,539,0,0,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63081
55,State,WI,2020/03/19 19:00:00+00,155,49,2192,615,0,0,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63154
55,State,WI,2020/03/20 19:00:00+00,206,51,3455,1263,3,3,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63227
55,State,WI,2020/03/21 19:00:00+00,281,75,4628,1173,4,1,1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63300
55,State,WI,2020/03/22 19:00:00+00,381,100,6230,1602,4,0,1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63373
55,State,WI,2020/03/23 19:00:00+00,416,35,7050,820,5,1,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63446
55,State,WI,2020/03/24 19:00:00+00,457,41,8237,1187,5,0,1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63519
55,State,WI,2020/03/25 19:00:00+00,585,128,10089,1852,6,1,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63592
55,State,WI,2020/03/26 19:00:00+00,707,122,11583,1494,8,2,1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63665
55,State,WI,2020/03/27 19:00:00+00,842,135,13140,1557,13,5,1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63738
55,State,WI,2020/03/28 19:00:00+00,989,147,15232,2092,13,0,2239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63811
55,State,WI,2020/03/29 19:00:00+00,1112,123,16550,1318,13,0,1441,,,,601,511,,4,14,148,169,186,203,220,111,46,11,5,8,,0,0,0,0,0,4,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63884
55,State,WI,2020/03/30 19:00:00+00,1221,109,15856,-694,14,1,-585,283,670,268,652,569,,4,16,161,179,198,224,247,126,53,13,5,9,,0,0,0,0,1,4,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63957
55,State,WI,2020/03/31 19:00:00+00,1351,130,17375,1519,16,2,1649,337,750,264,713,638,,5,16,171,193,216,251,274,142,66,17,7,9,,0,0,0,0,1,4,3,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64030
55,State,WI,2020/04/01 19:00:00+00,1550,199,18819,1444,24,8,1643,398,825,327,809,741,,7,16,189,213,255,295,310,165,77,23,10,14,,0,0,0,0,1,6,5,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64103
55,State,WI,2020/04/02 19:00:00+00,1730,180,20317,1498,31,7,1678,461,913,356,908,822,,6,18,207,240,279,335,341,192,86,26,13,18,,0,0,0,1,1,6,5,9,7,2,,,,,,,,,,,,,,,,,,,,,,2,1,9,30,54,86,115,99,52,13,4,14,170,166,162,169,155,55,13,5,0,3,28,44,63,80,71,38,21,8,126,0,0,1,10,13,23,37,26,14,2,64176
55,State,WI,2020/04/03 19:00:00+00,1916,186,22377,2060,37,6,2246,487,942,487,1005,911,,6,19,225,268,313,371,374,213,99,28,16,21,,0,0,0,1,1,6,5,12,9,3,,,,,,,,,,,,,,,,,,,,,,2,1,10,31,55,84,127,104,58,15,4,13,164,170,170,183,161,53,19,5,0,5,51,67,88,104,86,56,22,8,147,0,0,2,11,14,25,46,30,16,3,64249
55,State,WI,2020/04/04 19:00:00+00,2112,196,23859,1482,56,19,1678,588,1105,419,1117,995,,6,23,249,293,350,404,408,233,111,35,24,32,,0,0,0,2,1,8,9,16,14,6,,,,,,,,,,,,,,,,,,,,,,2,1,12,40,65,100,153,125,74,16,4,17,189,201,208,213,183,68,16,6,0,5,48,52,77,91,72,40,21,13,164,0,0,2,12,16,27,54,32,18,3,64322
55,State,WI,2020/04/05 19:00:00+00,2267,155,25169,1310,68,12,1465,624,1164,479,1201,1066,,8,27,261,317,378,438,428,253,121,36,27,41,,0,0,0,2,1,10,10,22,16,7,,,,,,,,,,,,,,,,,,,,,,2,1,12,42,69,106,161,136,78,17,4,19,197,218,218,226,188,69,19,6,2,7,52,57,91,106,79,48,24,13,175,0,0,2,12,16,28,59,36,19,3,64395
55,State,WI,2020/04/06 19:00:00+00,2440,173,26574,1405,77,9,1578,668,1203,569,1288,1152,,8,28,275,339,409,474,457,277,135,38,28,49,,0,0,0,2,1,11,11,25,18,9,,,,,,,,,,,,,,,,,,,,,,2,1,14,44,75,116,165,146,86,19,4,20,201,226,228,236,196,69,18,5,2,7,60,69,106,122,96,62,31,14,186,0,0,3,12,17,32,62,37,20,3,64468
55,State,WI,2020/04/07 19:00:00+00,2578,138,28512,1938,92,15,2076,745,1304,529,1366,1212,,10,29,288,355,433,495,486,298,143,41,36,56,,0,0,0,2,2,11,15,32,20,10,,,,,,,,,,,,,,,,,,,,,,2,1,19,52,82,131,184,156,98,20,7,21,213,237,260,255,209,78,19,5,1,7,56,66,91,109,93,64,26,16,200,0,0,3,12,20,35,65,41,21,3,64541
55,State,WI,2020/04/08 19:00:00+00,2756,178,30115,1603,99,7,1781,790,1389,577,1463,1293,,12,33,310,382,455,539,515,313,153,44,38,61,,0,0,0,2,2,11,16,35,23,10,22,55,741,1342,47,549,256,1834,666,1,4,42,43,0,9,3,83,13,,,,3,2,20,53,88,141,193,166,103,21,7,23,232,253,277,275,215,82,19,6,2,8,58,76,90,123,107,65,31,17,218,0,0,3,14,21,38,67,49,23,3,64614
55,State,WI,2020/04/09 19:00:00+00,2885,129,31424,1309,111,12,1438,843,1468,574,1532,1353,,12,33,326,401,468,562,537,331,164,51,42,69,,0,0,0,3,2,12,17,39,26,12,25,64,772,1430,54,540,282,1959,644,1,4,49,56,0,1,3,105,3,,,,3,2,24,57,91,153,203,176,110,24,8,24,242,274,291,287,229,85,22,6,1,7,60,70,86,122,105,70,32,21,230,0,0,3,14,21,42,69,54,24,3,64687
55,State,WI,2020/04/10 19:00:00+00,3068,183,33225,1801,128,17,1984,904,1561,603,1622,1446,,13,36,343,433,497,594,566,351,178,57,49,79,,0,0,0,3,2,15,24,42,27,15,28,71,812,1535,60,562,313,2085,670,1,4,56,65,0,2,3,122,3,,,,3,2,25,60,95,166,217,190,120,26,8,25,255,299,303,299,245,89,29,9,2,9,63,74,99,129,104,72,29,22,247,0,0,4,14,23,45,73,56,27,5,64760
55,State,WI,2020/04/11 19:00:00+00,3213,145,34680,1455,137,9,1600,950,1659,604,1704,1509,,14,38,354,449,528,623,587,369,189,62,54,83,,0,0,0,3,4,15,25,42,30,18,28,76,845,1615,66,583,333,2194,686,1,4,60,71,0,1,4,131,2,,,,4,3,28,63,102,171,228,194,127,30,8,26,267,310,325,328,257,94,31,13,2,9,59,76,101,124,102,81,31,19,257,0,0,4,14,23,47,75,58,29,7,64833
55,State,WI,2020/04/12 19:00:00+00,3341,128,35916,1236,144,7,1364,974,1735,632,1778,1563,,14,40,372,465,539,656,605,384,200,66,57,87,,0,0,0,3,4,15,25,45,33,19,28,81,857,1680,74,621,361,2262,718,1,4,61,77,0,1,4,138,2,,,,4,3,27,64,102,177,230,204,131,32,8,27,284,318,334,350,270,96,33,15,2,10,61,83,103,129,105,84,36,19,261,0,0,3,14,23,48,76,61,29,7,66551
