"age","code","date","daily.deaths","cum.deaths"
"0-1","TX",2020-05-06,NA,0
"1-9","TX",2020-05-06,NA,0
"10-19","TX",2020-05-06,NA,0
"20-29","TX",2020-05-06,NA,4
"30-39","TX",2020-05-06,NA,9
"40-49","TX",2020-05-06,NA,20
"50-59","TX",2020-05-06,NA,46
"60-64","TX",2020-05-06,NA,39
"65-69","TX",2020-05-06,NA,56
"70-74","TX",2020-05-06,NA,40
"75-79","TX",2020-05-06,NA,42
"80+","TX",2020-05-06,NA,177
"0-1","TX",2020-05-07,0,0
"1-9","TX",2020-05-07,0,0
"10-19","TX",2020-05-07,0,0
"20-29","TX",2020-05-07,0,4
"30-39","TX",2020-05-07,0,9
"40-49","TX",2020-05-07,0,20
"50-59","TX",2020-05-07,0,46
"60-64","TX",2020-05-07,1,40
"65-69","TX",2020-05-07,1,57
"70-74","TX",2020-05-07,1,41
"75-79","TX",2020-05-07,0,42
"80+","TX",2020-05-07,3,180
"0-1","TX",2020-05-08,0,0
"1-9","TX",2020-05-08,0,0
"10-19","TX",2020-05-08,0,0
"20-29","TX",2020-05-08,0,4
"30-39","TX",2020-05-08,0,9
"40-49","TX",2020-05-08,0,20
"50-59","TX",2020-05-08,1,47
"60-64","TX",2020-05-08,1,41
"65-69","TX",2020-05-08,0,57
"70-74","TX",2020-05-08,2,43
"75-79","TX",2020-05-08,0,42
"80+","TX",2020-05-08,0,180
"0-1","TX",2020-05-09,0,0
"1-9","TX",2020-05-09,0,0
"10-19","TX",2020-05-09,0,0
"20-29","TX",2020-05-09,0,4
"30-39","TX",2020-05-09,0,9
"40-49","TX",2020-05-09,1,21
"50-59","TX",2020-05-09,3,50
"60-64","TX",2020-05-09,0,41
"65-69","TX",2020-05-09,1,58
"70-74","TX",2020-05-09,1,44
"75-79","TX",2020-05-09,2,44
"80+","TX",2020-05-09,9,189
"0-1","TX",2020-05-10,0,0
"1-9","TX",2020-05-10,0,0
"10-19","TX",2020-05-10,0,0
"20-29","TX",2020-05-10,0,4
"30-39","TX",2020-05-10,0,9
"40-49","TX",2020-05-10,0,21
"50-59","TX",2020-05-10,0,50
"60-64","TX",2020-05-10,0,41
"65-69","TX",2020-05-10,0,58
"70-74","TX",2020-05-10,0,44
"75-79","TX",2020-05-10,0,44
"80+","TX",2020-05-10,0,189
"0-1","TX",2020-05-11,0,0
"1-9","TX",2020-05-11,0,0
"10-19","TX",2020-05-11,0,0
"20-29","TX",2020-05-11,0,4
"30-39","TX",2020-05-11,0,9
"40-49","TX",2020-05-11,0,21
"50-59","TX",2020-05-11,2,52
"60-64","TX",2020-05-11,3,44
"65-69","TX",2020-05-11,0,58
"70-74","TX",2020-05-11,1,45
"75-79","TX",2020-05-11,0,44
"80+","TX",2020-05-11,5,194
"0-1","TX",2020-05-12,0,0
"1-9","TX",2020-05-12,0,0
"10-19","TX",2020-05-12,0,0
"20-29","TX",2020-05-12,0,4
"30-39","TX",2020-05-12,0,9
"40-49","TX",2020-05-12,0,21
"50-59","TX",2020-05-12,0,52
"60-64","TX",2020-05-12,0,44
"65-69","TX",2020-05-12,0,58
"70-74","TX",2020-05-12,0,45
"75-79","TX",2020-05-12,0,44
"80+","TX",2020-05-12,0,194
"0-1","TX",2020-05-13,0,0
"1-9","TX",2020-05-13,0,0
"10-19","TX",2020-05-13,0,0
"20-29","TX",2020-05-13,0,4
"30-39","TX",2020-05-13,0,9
"40-49","TX",2020-05-13,0,21
"50-59","TX",2020-05-13,0,52
"60-64","TX",2020-05-13,1,45
"65-69","TX",2020-05-13,0,58
"70-74","TX",2020-05-13,0,45
"75-79","TX",2020-05-13,0,44
"80+","TX",2020-05-13,1,195
"0-1","TX",2020-05-14,0,0
"1-9","TX",2020-05-14,0,0
"10-19","TX",2020-05-14,0,0
"20-29","TX",2020-05-14,0,4
"30-39","TX",2020-05-14,0,9
"40-49","TX",2020-05-14,0,21
"50-59","TX",2020-05-14,0,52
"60-64","TX",2020-05-14,0,45
"65-69","TX",2020-05-14,0,58
"70-74","TX",2020-05-14,0,45
"75-79","TX",2020-05-14,0,44
"80+","TX",2020-05-14,0,195
"0-1","TX",2020-05-15,0,0
"1-9","TX",2020-05-15,0,0
"10-19","TX",2020-05-15,0,0
"20-29","TX",2020-05-15,0,4
"30-39","TX",2020-05-15,0,9
"40-49","TX",2020-05-15,0,21
"50-59","TX",2020-05-15,2,54
"60-64","TX",2020-05-15,0,45
"65-69","TX",2020-05-15,0,58
"70-74","TX",2020-05-15,0,45
"75-79","TX",2020-05-15,1,45
"80+","TX",2020-05-15,1,196
"0-1","TX",2020-05-16,0,0
"0-1","TX",2020-05-17,0,0
"1-9","TX",2020-05-16,0,0
"1-9","TX",2020-05-17,0,0
"10-19","TX",2020-05-16,0,0
"10-19","TX",2020-05-17,0,0
"20-29","TX",2020-05-16,0,4
"20-29","TX",2020-05-17,0,4
"30-39","TX",2020-05-16,0,9
"30-39","TX",2020-05-17,0,9
