"age","cum.deaths","daily.deaths","code","date"
"0-9",0,NA,"ND",2020-05-14
"10-19",0,NA,"ND",2020-05-14
"20-29",0,NA,"ND",2020-05-14
"30-39",0,NA,"ND",2020-05-14
"40-49",2,NA,"ND",2020-05-14
"50-59",2,NA,"ND",2020-05-14
"60-69",1,NA,"ND",2020-05-14
"70-79",9,NA,"ND",2020-05-14
"80+",26,NA,"ND",2020-05-14
"0-9",0,0,"ND",2020-05-15
"10-19",0,0,"ND",2020-05-15
"20-29",0,0,"ND",2020-05-15
"30-39",0,0,"ND",2020-05-15
"40-49",3,1,"ND",2020-05-15
"50-59",2,0,"ND",2020-05-15
"60-69",1,0,"ND",2020-05-15
"70-79",9,0,"ND",2020-05-15
"80+",27,1,"ND",2020-05-15
"0-9",0,0,"ND",2020-05-16
"10-19",0,0,"ND",2020-05-16
"20-29",0,0,"ND",2020-05-16
"30-39",0,0,"ND",2020-05-16
"40-49",3,0,"ND",2020-05-16
"50-59",2,0,"ND",2020-05-16
"60-69",1,0,"ND",2020-05-16
"70-79",9,0,"ND",2020-05-16
"80+",27,0,"ND",2020-05-16
"0-9",0,0,"ND",2020-05-17
"10-19",0,0,"ND",2020-05-17
"20-29",0,0,"ND",2020-05-17
"30-39",0,0,"ND",2020-05-17
"40-49",3,0,"ND",2020-05-17
"50-59",2,0,"ND",2020-05-17
"60-69",1,0,"ND",2020-05-17
"70-79",9,0,"ND",2020-05-17
"80+",28,1,"ND",2020-05-17
"0-9",0,0,"ND",2020-05-18
"10-19",0,0,"ND",2020-05-18
"20-29",0,0,"ND",2020-05-18
"30-39",0,0,"ND",2020-05-18
"40-49",3,0,"ND",2020-05-18
"50-59",2,0,"ND",2020-05-18
"60-69",1,0,"ND",2020-05-18
"70-79",9,0,"ND",2020-05-18
"80+",29,1,"ND",2020-05-18
"0-9",0,0,"ND",2020-05-19
"10-19",0,0,"ND",2020-05-19
"20-29",0,0,"ND",2020-05-19
"30-39",0,0,"ND",2020-05-19
"40-49",3,0,"ND",2020-05-19
"50-59",2,0,"ND",2020-05-19
"60-69",1,0,"ND",2020-05-19
"70-79",10,1,"ND",2020-05-19
"80+",29,0,"ND",2020-05-19
"0-9",0,0,"ND",2020-05-20
"10-19",0,0,"ND",2020-05-20
"20-29",0,0,"ND",2020-05-20
"30-39",0,0,"ND",2020-05-20
"40-49",3,0,"ND",2020-05-20
"50-59",2,0,"ND",2020-05-20
"60-69",3,2,"ND",2020-05-20
"70-79",10,0,"ND",2020-05-20
"80+",31,2,"ND",2020-05-20
"0-9",0,0,"ND",2020-05-21
"10-19",0,0,"ND",2020-05-21
"20-29",0,0,"ND",2020-05-21
"30-39",0,0,"ND",2020-05-21
"40-49",3,0,"ND",2020-05-21
"50-59",2,0,"ND",2020-05-21
"60-69",3,0,"ND",2020-05-21
"70-79",11,1,"ND",2020-05-21
"80+",32,1,"ND",2020-05-21
"0-9",0,0,"ND",2020-05-22
"10-19",0,0,"ND",2020-05-22
"20-29",0,0,"ND",2020-05-22
"30-39",0,0,"ND",2020-05-22
"40-49",3,0,"ND",2020-05-22
"50-59",2,0,"ND",2020-05-22
"60-69",3,0,"ND",2020-05-22
"70-79",11,0,"ND",2020-05-22
"80+",33,1,"ND",2020-05-22
"0-9",0,0,"ND",2020-05-23
"10-19",0,0,"ND",2020-05-23
"20-29",0,0,"ND",2020-05-23
"30-39",0,0,"ND",2020-05-23
"40-49",3,0,"ND",2020-05-23
"50-59",2,0,"ND",2020-05-23
"60-69",3,0,"ND",2020-05-23
"70-79",11,0,"ND",2020-05-23
"80+",33,0,"ND",2020-05-23
"0-9",0,0,"ND",2020-05-24
"10-19",0,0,"ND",2020-05-24
"20-29",0,0,"ND",2020-05-24
"30-39",0,0,"ND",2020-05-24
"40-49",3,0,"ND",2020-05-24
"50-59",2,0,"ND",2020-05-24
"60-69",3,0,"ND",2020-05-24
"70-79",11,0,"ND",2020-05-24
"80+",34,1,"ND",2020-05-24
"0-9",0,0,"ND",2020-05-25
"10-19",0,0,"ND",2020-05-25
"20-29",0,0,"ND",2020-05-25
"30-39",0,0,"ND",2020-05-25
"40-49",3,0,"ND",2020-05-25
"50-59",2,0,"ND",2020-05-25
"60-69",3,0,"ND",2020-05-25
"70-79",11,0,"ND",2020-05-25
"80+",35,1,"ND",2020-05-25
"0-9",0,0,"ND",2020-05-26
"10-19",0,0,"ND",2020-05-26
"20-29",0,0,"ND",2020-05-26
"30-39",0,0,"ND",2020-05-26
"40-49",3,0,"ND",2020-05-26
"50-59",2,0,"ND",2020-05-26
"60-69",3,0,"ND",2020-05-26
"70-79",11,0,"ND",2020-05-26
"80+",35,0,"ND",2020-05-26
"0-9",0,0,"ND",2020-05-27
"10-19",0,0,"ND",2020-05-27
"20-29",0,0,"ND",2020-05-27
"30-39",0,0,"ND",2020-05-27
"40-49",3,0,"ND",2020-05-27
"50-59",2,0,"ND",2020-05-27
"60-69",3,0,"ND",2020-05-27
"70-79",12,1,"ND",2020-05-27
"80+",36,1,"ND",2020-05-27
"0-9",0,0,"ND",2020-05-28
"10-19",0,0,"ND",2020-05-28
"20-29",0,0,"ND",2020-05-28
"30-39",0,0,"ND",2020-05-28
"40-49",3,0,"ND",2020-05-28
"50-59",2,0,"ND",2020-05-28
"60-69",3,0,"ND",2020-05-28
"70-79",12,0,"ND",2020-05-28
"80+",37,1,"ND",2020-05-28
"0-9",0,0,"ND",2020-05-29
"10-19",0,0,"ND",2020-05-29
"20-29",0,0,"ND",2020-05-29
"30-39",0,0,"ND",2020-05-29
"40-49",3,0,"ND",2020-05-29
"50-59",2,0,"ND",2020-05-29
"60-69",3,0,"ND",2020-05-29
"70-79",13,1,"ND",2020-05-29
"80+",38,1,"ND",2020-05-29
"0-9",0,0,"ND",2020-05-30
"10-19",0,0,"ND",2020-05-30
"20-29",0,0,"ND",2020-05-30
"30-39",0,0,"ND",2020-05-30
"40-49",3,0,"ND",2020-05-30
"50-59",2,0,"ND",2020-05-30
"60-69",4,1,"ND",2020-05-30
"70-79",13,0,"ND",2020-05-30
"80+",38,0,"ND",2020-05-30
"0-9",0,0,"ND",2020-05-31
"10-19",0,0,"ND",2020-05-31
"20-29",0,0,"ND",2020-05-31
"30-39",0,0,"ND",2020-05-31
"40-49",3,0,"ND",2020-05-31
"50-59",2,0,"ND",2020-05-31
"60-69",4,0,"ND",2020-05-31
"70-79",13,0,"ND",2020-05-31
"80+",39,1,"ND",2020-05-31
"0-9",0,0,"ND",2020-06-01
"10-19",0,0,"ND",2020-06-01
"20-29",0,0,"ND",2020-06-01
"30-39",0,0,"ND",2020-06-01
"40-49",3,0,"ND",2020-06-01
