"date","age","cum.deaths","daily.deaths","code"
2020-04-21,"0-9",0,NA,"VA"
2020-04-21,"10-19",0,NA,"VA"
2020-04-21,"20-29",1,NA,"VA"
2020-04-21,"30-39",2,NA,"VA"
2020-04-21,"40-49",7,NA,"VA"
2020-04-21,"50-59",20,NA,"VA"
2020-04-21,"60-69",59,NA,"VA"
2020-04-21,"70-79",86,NA,"VA"
2020-04-21,"80+",147,NA,"VA"
2020-04-22,"0-9",0,0,"VA"
2020-04-22,"10-19",0,0,"VA"
2020-04-22,"20-29",1,0,"VA"
2020-04-22,"30-39",2,0,"VA"
2020-04-22,"40-49",7,0,"VA"
2020-04-22,"50-59",20,0,"VA"
2020-04-22,"60-69",63,4,"VA"
2020-04-22,"70-79",96,10,"VA"
2020-04-22,"80+",159,12,"VA"
2020-04-23,"0-9",0,0,"VA"
2020-04-23,"10-19",0,0,"VA"
2020-04-23,"20-29",1,0,"VA"
2020-04-23,"30-39",2,0,"VA"
2020-04-23,"40-49",7,0,"VA"
2020-04-23,"50-59",20,0,"VA"
2020-04-23,"60-69",63,0,"VA"
2020-04-23,"70-79",96,0,"VA"
2020-04-23,"80+",159,0,"VA"
2020-04-24,"0-9",0,0,"VA"
2020-04-24,"10-19",0,0,"VA"
2020-04-24,"20-29",1,0,"VA"
2020-04-24,"30-39",2,0,"VA"
2020-04-24,"40-49",7,0,"VA"
2020-04-24,"50-59",20,0,"VA"
2020-04-24,"60-69",63,0,"VA"
2020-04-24,"70-79",96,0,"VA"
2020-04-24,"80+",159,0,"VA"
2020-04-25,"0-9",0,0,"VA"
2020-04-25,"10-19",0,0,"VA"
2020-04-25,"20-29",1,0,"VA"
2020-04-25,"30-39",3,1,"VA"
2020-04-25,"40-49",8,1,"VA"
2020-04-25,"50-59",26,6,"VA"
2020-04-25,"60-69",80,17,"VA"
2020-04-25,"70-79",114,18,"VA"
2020-04-25,"80+",211,52,"VA"
2020-04-26,"0-9",0,0,"VA"
2020-04-26,"10-19",0,0,"VA"
2020-04-26,"20-29",2,1,"VA"
2020-04-26,"30-39",3,0,"VA"
2020-04-26,"40-49",9,1,"VA"
2020-04-26,"50-59",26,0,"VA"
2020-04-26,"60-69",83,3,"VA"
2020-04-26,"70-79",116,2,"VA"
2020-04-26,"80+",216,5,"VA"
2020-04-27,"0-9",0,0,"VA"
2020-04-27,"10-19",0,0,"VA"
2020-04-27,"20-29",2,0,"VA"
2020-04-27,"30-39",3,0,"VA"
2020-04-27,"40-49",9,0,"VA"
