"date","age","cum.deaths","daily.deaths","code"
2020-05-13,"0-19",2,NA,"IN"
2020-05-13,"20-29",3,NA,"IN"
2020-05-13,"30-39",11,NA,"IN"
2020-05-13,"40-49",29,NA,"IN"
2020-05-13,"50-59",87,NA,"IN"
2020-05-13,"60-69",246,NA,"IN"
2020-05-13,"70-79",377,NA,"IN"
2020-05-13,"80+",751,NA,"IN"
2020-05-14,"0-19",2,0,"IN"
2020-05-14,"20-29",3,0,"IN"
2020-05-14,"30-39",11,0,"IN"
2020-05-14,"40-49",29,0,"IN"
2020-05-14,"50-59",91,4,"IN"
2020-05-14,"60-69",254,8,"IN"
2020-05-14,"70-79",386,9,"IN"
2020-05-14,"80+",770,19,"IN"
2020-05-15,"0-19",2,0,"IN"
2020-05-15,"20-29",3,0,"IN"
2020-05-15,"30-39",12,1,"IN"
2020-05-15,"40-49",30,1,"IN"
2020-05-15,"50-59",93,2,"IN"
2020-05-15,"60-69",262,8,"IN"
2020-05-15,"70-79",394,8,"IN"
2020-05-15,"80+",798,28,"IN"
2020-05-16,"0-19",2,0,"IN"
2020-05-16,"20-29",3,0,"IN"
2020-05-16,"30-39",12,0,"IN"
2020-05-16,"40-49",31,1,"IN"
2020-05-16,"50-59",94,1,"IN"
2020-05-16,"60-69",264,2,"IN"
2020-05-16,"70-79",395,1,"IN"
2020-05-16,"80+",807,9,"IN"
2020-05-17,"0-19",2,0,"IN"
2020-05-17,"20-29",3,0,"IN"
2020-05-17,"30-39",12,0,"IN"
2020-05-17,"40-49",31,0,"IN"
2020-05-17,"50-59",94,0,"IN"
2020-05-17,"60-69",266,2,"IN"
2020-05-17,"70-79",399,4,"IN"
2020-05-17,"80+",815,8,"IN"
2020-05-18,"0-19",2,0,"IN"
2020-05-18,"20-29",3,0,"IN"
2020-05-18,"30-39",13,1,"IN"
2020-05-18,"40-49",33,2,"IN"
2020-05-18,"50-59",96,2,"IN"
2020-05-18,"60-69",274,8,"IN"
2020-05-18,"70-79",413,14,"IN"
2020-05-18,"80+",846,31,"IN"
2020-05-19,"0-19",2,0,"IN"
2020-05-19,"20-29",3,0,"IN"
2020-05-19,"30-39",13,0,"IN"
2020-05-19,"40-49",33,0,"IN"
2020-05-19,"50-59",97,1,"IN"
2020-05-19,"60-69",276,2,"IN"
2020-05-19,"70-79",419,6,"IN"
2020-05-19,"80+",872,26,"IN"
2020-05-20,"0-19",2,0,"IN"
2020-05-20,"20-29",4,1,"IN"
2020-05-20,"30-39",13,0,"IN"
2020-05-20,"40-49",35,2,"IN"
2020-05-20,"50-59",97,0,"IN"
2020-05-20,"60-69",286,10,"IN"
2020-05-20,"70-79",429,10,"IN"
2020-05-20,"80+",900,28,"IN"
2020-05-21,"0-19",2,0,"IN"
2020-05-21,"20-29",4,0,"IN"
2020-05-21,"30-39",14,1,"IN"
2020-05-21,"40-49",36,1,"IN"
2020-05-21,"50-59",97,0,"IN"
2020-05-21,"60-69",288,2,"IN"
2020-05-21,"70-79",435,6,"IN"
2020-05-21,"80+",915,15,"IN"
2020-05-22,"0-19",2,0,"IN"
2020-05-22,"20-29",4,0,"IN"
2020-05-22,"30-39",14,0,"IN"
2020-05-22,"40-49",36,0,"IN"
2020-05-22,"50-59",100,3,"IN"
2020-05-22,"60-69",292,4,"IN"
2020-05-22,"70-79",444,9,"IN"
2020-05-22,"80+",922,7,"IN"
2020-05-23,"0-19",2,0,"IN"
2020-05-23,"20-29",4,0,"IN"
2020-05-23,"30-39",14,0,"IN"
2020-05-23,"40-49",36,0,"IN"
2020-05-23,"50-59",100,0,"IN"
2020-05-23,"60-69",292,0,"IN"
2020-05-23,"70-79",447,3,"IN"
2020-05-23,"80+",928,6,"IN"
2020-05-24,"0-19",2,0,"IN"
2020-05-24,"20-29",4,0,"IN"
2020-05-24,"30-39",14,0,"IN"
2020-05-24,"40-49",37,1,"IN"
2020-05-24,"50-59",103,3,"IN"
2020-05-24,"60-69",293,1,"IN"
2020-05-24,"70-79",447,0,"IN"
2020-05-24,"80+",934,6,"IN"
2020-05-25,"0-19",2,0,"IN"
2020-05-25,"20-29",4,0,"IN"
2020-05-25,"30-39",16,2,"IN"
2020-05-25,"40-49",37,0,"IN"
2020-05-25,"50-59",103,0,"IN"
2020-05-25,"60-69",298,5,"IN"
2020-05-25,"70-79",451,4,"IN"
2020-05-25,"80+",940,6,"IN"
2020-05-26,"0-19",2,0,"IN"
2020-05-26,"20-29",4,0,"IN"
2020-05-26,"30-39",16,0,"IN"
2020-05-26,"40-49",37,0,"IN"
2020-05-26,"50-59",103,0,"IN"
2020-05-26,"60-69",301,3,"IN"
2020-05-26,"70-79",457,6,"IN"
2020-05-26,"80+",952,12,"IN"
2020-05-27,"0-19",2,0,"IN"
2020-05-27,"20-29",4,0,"IN"
2020-05-27,"30-39",16,0,"IN"
2020-05-27,"40-49",37,0,"IN"
2020-05-27,"50-59",103,0,"IN"
2020-05-27,"60-69",302,1,"IN"
2020-05-27,"70-79",457,0,"IN"
2020-05-27,"80+",952,0,"IN"
2020-05-28,"0-19",2,0,"IN"
2020-05-28,"20-29",4,0,"IN"
2020-05-28,"30-39",16,0,"IN"
2020-05-28,"40-49",37,0,"IN"
2020-05-28,"50-59",105,2,"IN"
2020-05-28,"60-69",306,4,"IN"
2020-05-28,"70-79",471,14,"IN"
2020-05-28,"80+",968,16,"IN"
2020-05-29,"0-19",2,0,"IN"
2020-05-29,"20-29",4,0,"IN"
2020-05-29,"30-39",16,0,"IN"
2020-05-29,"40-49",37,0,"IN"
2020-05-29,"50-59",105,0,"IN"
2020-05-29,"60-69",311,5,"IN"
2020-05-29,"70-79",479,8,"IN"
2020-05-29,"80+",994,26,"IN"
2020-05-30,"0-19",2,0,"IN"
2020-05-30,"20-29",4,0,"IN"
2020-05-30,"30-39",16,0,"IN"
