"date","age","cum.deaths","daily.deaths","code"
2020-05-03,"0-4",0,NA,"AL"
2020-05-03,"25-49",9,NA,"AL"
2020-05-03,"5-24",0,NA,"AL"
2020-05-03,"50-64",58,NA,"AL"
2020-05-03,"65+",222,NA,"AL"
2020-05-04,"0-4",0,0,"AL"
2020-05-04,"25-49",9,0,"AL"
2020-05-04,"5-24",0,0,"AL"
2020-05-04,"50-64",58,0,"AL"
2020-05-04,"65+",225,3,"AL"
2020-05-05,"0-4",0,0,"AL"
2020-05-05,"25-49",9,0,"AL"
2020-05-05,"5-24",0,0,"AL"
2020-05-05,"50-64",60,2,"AL"
2020-05-05,"65+",241,16,"AL"
2020-05-06,"0-4",0,0,"AL"
2020-05-06,"25-49",11,2,"AL"
2020-05-06,"5-24",0,0,"AL"
2020-05-06,"50-64",64,4,"AL"
2020-05-06,"65+",265,24,"AL"
2020-05-07,"0-4",0,0,"AL"
2020-05-07,"25-49",11,0,"AL"
2020-05-07,"5-24",0,0,"AL"
2020-05-07,"50-64",66,2,"AL"
2020-05-07,"65+",270,5,"AL"
2020-05-08,"0-4",0,0,"AL"
2020-05-08,"25-49",11,0,"AL"
2020-05-08,"5-24",0,0,"AL"
2020-05-08,"50-64",67,1,"AL"
2020-05-08,"65+",296,26,"AL"
2020-05-09,"0-4",0,0,"AL"
2020-05-09,"25-49",11,0,"AL"
2020-05-09,"5-24",0,0,"AL"
2020-05-09,"50-64",69,2,"AL"
2020-05-09,"65+",308,12,"AL"
2020-05-10,"0-4",0,0,"AL"
2020-05-10,"25-49",11,0,"AL"
2020-05-10,"5-24",0,0,"AL"
2020-05-10,"50-64",69,0,"AL"
2020-05-10,"65+",310,2,"AL"
2020-05-11,"0-4",0,0,"AL"
2020-05-11,"25-49",11,0,"AL"
2020-05-11,"5-24",0,0,"AL"
2020-05-11,"50-64",69,0,"AL"
2020-05-11,"65+",312,2,"AL"
2020-05-12,"0-4",0,0,"AL"
2020-05-12,"25-49",12,1,"AL"
2020-05-12,"5-24",0,0,"AL"
2020-05-12,"50-64",73,4,"AL"
2020-05-12,"65+",342,30,"AL"
2020-05-13,"0-4",0,0,"AL"
2020-05-13,"25-49",12,0,"AL"
2020-05-13,"5-24",0,0,"AL"
2020-05-13,"50-64",74,1,"AL"
2020-05-13,"65+",354,12,"AL"
2020-05-14,"0-4",0,0,"AL"
2020-05-14,"25-49",12,0,"AL"
2020-05-14,"5-24",0,0,"AL"
2020-05-14,"50-64",74,0,"AL"
2020-05-14,"65+",363,9,"AL"
2020-05-15,"0-4",0,0,"AL"
2020-05-15,"25-49",12,0,"AL"
2020-05-15,"5-24",0,0,"AL"
2020-05-15,"50-64",77,3,"AL"
2020-05-15,"65+",383,20,"AL"
2020-05-16,"0-4",0,0,"AL"
2020-05-16,"25-49",12,0,"AL"
2020-05-16,"5-24",0,0,"AL"
2020-05-16,"50-64",80,3,"AL"
2020-05-16,"65+",391,8,"AL"
2020-05-17,"0-4",0,0,"AL"
2020-05-17,"25-49",12,0,"AL"
2020-05-17,"5-24",0,0,"AL"
2020-05-17,"50-64",81,1,"AL"
2020-05-17,"65+",391,0,"AL"
2020-05-18,"0-4",0,0,"AL"
2020-05-18,"25-49",12,0,"AL"
2020-05-18,"5-24",0,0,"AL"
2020-05-18,"50-64",81,0,"AL"
2020-05-18,"65+",395,4,"AL"
2020-05-19,"0-4",0,0,"AL"
2020-05-19,"25-49",13,1,"AL"
2020-05-19,"5-24",0,0,"AL"
2020-05-19,"50-64",83,2,"AL"
2020-05-19,"65+",400,5,"AL"
2020-05-20,"0-4",0,0,"AL"
2020-05-20,"25-49",14,1,"AL"
2020-05-20,"5-24",0,0,"AL"
2020-05-20,"50-64",83,0,"AL"
2020-05-20,"65+",415,15,"AL"
2020-05-21,"0-4",0,0,"AL"
2020-05-21,"25-49",15,1,"AL"
2020-05-21,"5-24",0,0,"AL"
2020-05-21,"50-64",84,1,"AL"
2020-05-21,"65+",429,14,"AL"
2020-05-22,"0-4",0,0,"AL"
2020-05-22,"25-49",15,0,"AL"
2020-05-22,"5-24",0,0,"AL"
2020-05-22,"50-64",84,0,"AL"
2020-05-22,"65+",436,7,"AL"
2020-05-23,"0-4",0,0,"AL"
2020-05-23,"25-49",15,0,"AL"
2020-05-23,"5-24",0,0,"AL"
2020-05-23,"50-64",84,0,"AL"
2020-05-23,"65+",441,5,"AL"
2020-05-24,"0-4",0,0,"AL"
2020-05-24,"25-49",15,0,"AL"
2020-05-24,"5-24",0,0,"AL"
2020-05-24,"50-64",86,2,"AL"
2020-05-24,"65+",449,8,"AL"
2020-05-25,"0-4",0,0,"AL"
2020-05-25,"25-49",18,3,"AL"
2020-05-25,"5-24",0,0,"AL"
2020-05-25,"50-64",88,2,"AL"
2020-05-25,"65+",453,4,"AL"
2020-05-26,"0-4",0,0,"AL"
2020-05-26,"25-49",18,0,"AL"
2020-05-26,"5-24",0,0,"AL"
2020-05-26,"50-64",91,3,"AL"
2020-05-26,"65+",463,10,"AL"
2020-05-27,"0-4",0,0,"AL"
2020-05-27,"25-49",19,1,"AL"
2020-05-27,"5-24",0,0,"AL"
2020-05-27,"50-64",92,1,"AL"
2020-05-27,"65+",469,6,"AL"
2020-05-28,"0-4",0,0,"AL"
2020-05-28,"25-49",20,1,"AL"
2020-05-28,"5-24",0,0,"AL"
2020-05-28,"50-64",92,0,"AL"
2020-05-28,"65+",477,8,"AL"
2020-05-29,"0-4",0,0,"AL"
2020-05-29,"25-49",20,0,"AL"
2020-05-29,"5-24",0,0,"AL"
2020-05-29,"50-64",94,2,"AL"
2020-05-29,"65+",488,11,"AL"
2020-05-30,"0-4",0,0,"AL"
2020-05-30,"25-49",21,1,"AL"
2020-05-30,"5-24",0,0,"AL"
2020-05-30,"50-64",100,6,"AL"
2020-05-30,"65+",488,0,"AL"
2020-05-31,"0-4",0,0,"AL"
2020-05-31,"25-49",22,1,"AL"
2020-05-31,"5-24",0,0,"AL"
2020-05-31,"50-64",100,0,"AL"
2020-05-31,"65+",505,17,"AL"
2020-06-01,"0-4",0,0,"AL"
2020-06-01,"25-49",22,0,"AL"
2020-06-01,"5-24",0,0,"AL"
2020-06-01,"50-64",103,3,"AL"
2020-06-01,"65+",518,13,"AL"
2020-06-02,"0-4",0,0,"AL"
2020-06-02,"25-49",22,0,"AL"
2020-06-02,"5-24",0,0,"AL"
2020-06-02,"50-64",107,4,"AL"
2020-06-02,"65+",521,3,"AL"
2020-06-03,"0-4",0,0,"AL"
2020-06-03,"25-49",22,0,"AL"
2020-06-03,"5-24",0,0,"AL"
2020-06-03,"50-64",107,0,"AL"
2020-06-03,"65+",521,0,"AL"
2020-06-04,"0-4",0,0,"AL"
2020-06-04,"25-49",22,0,"AL"
2020-06-04,"5-24",0,0,"AL"
2020-06-04,"50-64",107,0,"AL"
2020-06-04,"65+",521,0,"AL"
2020-06-05,"0-4",1,1,"AL"
2020-06-05,"25-49",22,0,"AL"
2020-06-05,"5-24",0,0,"AL"
2020-06-05,"50-64",111,4,"AL"
2020-06-05,"65+",537,16,"AL"
2020-06-06,"0-4",1,0,"AL"
2020-06-06,"25-49",22,0,"AL"
2020-06-06,"5-24",0,0,"AL"
2020-06-06,"50-64",114,3,"AL"
2020-06-06,"65+",547,10,"AL"
2020-06-07,"0-4",1,0,"AL"
2020-06-07,"25-49",23,1,"AL"
2020-06-07,"5-24",0,0,"AL"
2020-06-07,"50-64",114,0,"AL"
2020-06-07,"65+",549,2,"AL"
2020-06-08,"0-4",1,0,"AL"
2020-06-08,"25-49",25,2,"AL"
2020-06-08,"5-24",0,0,"AL"
2020-06-08,"50-64",118,4,"AL"
2020-06-08,"65+",569,20,"AL"
2020-06-09,"0-4",1,0,"AL"
2020-06-09,"25-49",26,1,"AL"
2020-06-09,"5-24",1,1,"AL"
2020-06-09,"50-64",119,1,"AL"
2020-06-09,"65+",577,8,"AL"
2020-06-10,"0-4",1,0,"AL"
2020-06-10,"25-49",27,1,"AL"
2020-06-10,"5-24",1,0,"AL"
2020-06-10,"50-64",121,2,"AL"
2020-06-10,"65+",588,11,"AL"
2020-06-11,"0-4",1,0,"AL"
2020-06-11,"25-49",29,2,"AL"
2020-06-11,"5-24",2,1,"AL"
2020-06-11,"50-64",125,4,"AL"
2020-06-11,"65+",592,4,"AL"
2020-06-12,"0-4",1,0,"AL"
2020-06-12,"25-49",32,3,"AL"
2020-06-12,"5-24",2,0,"AL"
2020-06-12,"50-64",127,2,"AL"
2020-06-12,"65+",601,9,"AL"
2020-06-13,"0-4",1,0,"AL"
2020-06-13,"25-49",32,0,"AL"
2020-06-13,"5-24",2,0,"AL"
2020-06-13,"50-64",128,1,"AL"
2020-06-13,"65+",604,3,"AL"
2020-06-14,"0-4",1,0,"AL"
2020-06-14,"25-49",32,0,"AL"
2020-06-14,"5-24",2,0,"AL"
2020-06-14,"50-64",128,0,"AL"
2020-06-14,"65+",604,0,"AL"
2020-06-15,"0-4",1,0,"AL"
2020-06-15,"25-49",32,0,"AL"
2020-06-15,"5-24",2,0,"AL"
2020-06-15,"50-64",128,0,"AL"
2020-06-15,"65+",604,0,"AL"
2020-06-16,"0-4",1,0,"AL"
2020-06-16,"25-49",32,0,"AL"
2020-06-16,"5-24",2,0,"AL"
2020-06-16,"50-64",129,1,"AL"
2020-06-16,"65+",613,9,"AL"
2020-06-17,"0-4",1,0,"AL"
2020-06-17,"25-49",32,0,"AL"
2020-06-17,"5-24",2,0,"AL"
2020-06-17,"50-64",131,2,"AL"
2020-06-17,"65+",616,3,"AL"
2020-06-18,"0-4",1,0,"AL"
2020-06-18,"25-49",32,0,"AL"
2020-06-18,"5-24",2,0,"AL"
2020-06-18,"50-64",137,6,"AL"
2020-06-18,"65+",627,11,"AL"
2020-06-19,"0-4",2,1,"AL"
2020-06-19,"25-49",33,1,"AL"
2020-06-19,"5-24",2,0,"AL"
2020-06-19,"50-64",141,4,"AL"
2020-06-19,"65+",631,4,"AL"
2020-06-20,"0-4",2,0,"AL"
2020-06-20,"25-49",35,2,"AL"
2020-06-20,"5-24",2,0,"AL"
2020-06-20,"50-64",143,2,"AL"
2020-06-20,"65+",644,13,"AL"
2020-06-21,"0-4",2,0,"AL"
2020-06-21,"25-49",35,0,"AL"
2020-06-21,"5-24",2,0,"AL"
2020-06-21,"50-64",143,0,"AL"
2020-06-21,"65+",646,2,"AL"
2020-06-22,"0-4",2,0,"AL"
2020-06-22,"25-49",35,0,"AL"
2020-06-22,"5-24",2,0,"AL"
2020-06-22,"50-64",143,0,"AL"
2020-06-22,"65+",648,2,"AL"
2020-06-23,"0-4",2,0,"AL"
2020-06-23,"25-49",37,2,"AL"
2020-06-23,"5-24",2,0,"AL"
2020-06-23,"50-64",148,5,"AL"
2020-06-23,"65+",664,16,"AL"
2020-06-24,"0-4",2,0,"AL"
2020-06-24,"25-49",37,0,"AL"
2020-06-24,"5-24",2,0,"AL"
2020-06-24,"50-64",152,4,"AL"
2020-06-24,"65+",684,20,"AL"
2020-06-25,"0-4",2,0,"AL"
2020-06-25,"25-49",37,0,"AL"
2020-06-25,"5-24",2,0,"AL"
2020-06-25,"50-64",152,0,"AL"
2020-06-25,"65+",686,2,"AL"
2020-06-26,"0-4",2,0,"AL"
2020-06-26,"25-49",37,0,"AL"
2020-06-26,"5-24",2,0,"AL"
2020-06-26,"50-64",153,1,"AL"
2020-06-26,"65+",693,7,"AL"
2020-06-27,"0-4",2,0,"AL"
2020-06-27,"25-49",39,2,"AL"
2020-06-27,"5-24",2,0,"AL"
2020-06-27,"50-64",154,1,"AL"
2020-06-27,"65+",701,8,"AL"
2020-06-28,"0-4",2,0,"AL"
2020-06-28,"25-49",39,0,"AL"
2020-06-28,"5-24",2,0,"AL"
2020-06-28,"50-64",154,0,"AL"
2020-06-28,"65+",701,0,"AL"
2020-06-29,"0-4",2,0,"AL"
2020-06-29,"25-49",39,0,"AL"
2020-06-29,"5-24",2,0,"AL"
2020-06-29,"50-64",155,1,"AL"
2020-06-29,"65+",707,6,"AL"
2020-06-30,"0-4",2,0,"AL"
2020-06-30,"25-49",39,0,"AL"
2020-06-30,"5-24",2,0,"AL"
2020-06-30,"50-64",158,3,"AL"
2020-06-30,"65+",725,18,"AL"
2020-07-01,"0-4",2,0,"AL"
2020-07-01,"25-49",40,1,"AL"
2020-07-01,"5-24",2,0,"AL"
2020-07-01,"50-64",163,5,"AL"
2020-07-01,"65+",740,15,"AL"
2020-07-02,"0-4",2,0,"AL"
2020-07-02,"25-49",41,1,"AL"
2020-07-02,"5-24",2,0,"AL"
2020-07-02,"50-64",163,0,"AL"
2020-07-02,"65+",753,13,"AL"
2020-07-03,"0-4",2,0,"AL"
2020-07-03,"25-49",44,3,"AL"
2020-07-03,"5-24",2,0,"AL"
2020-07-03,"50-64",167,4,"AL"
2020-07-03,"65+",768,15,"AL"
2020-07-04,"0-4",2,0,"AL"
2020-07-04,"25-49",44,0,"AL"
2020-07-04,"5-24",2,0,"AL"
2020-07-04,"50-64",167,0,"AL"
2020-07-04,"65+",769,1,"AL"
2020-07-05,"0-4",2,0,"AL"
2020-07-05,"25-49",44,0,"AL"
2020-07-05,"5-24",2,0,"AL"
2020-07-05,"50-64",167,0,"AL"
2020-07-05,"65+",769,0,"AL"
2020-07-06,"0-4",2,0,"AL"
2020-07-06,"25-49",44,0,"AL"
2020-07-06,"5-24",2,0,"AL"
2020-07-06,"50-64",167,0,"AL"
2020-07-06,"65+",769,0,"AL"
2020-07-07,"0-4",2,0,"AL"
2020-07-07,"25-49",45,1,"AL"
2020-07-07,"5-24",2,0,"AL"
2020-07-07,"50-64",170,3,"AL"
2020-07-07,"65+",788,19,"AL"
2020-07-08,"0-4",2,0,"AL"
2020-07-08,"25-49",45,0,"AL"
2020-07-08,"5-24",2,0,"AL"
2020-07-08,"50-64",173,3,"AL"
2020-07-08,"65+",810,22,"AL"
2020-07-09,"0-4",2,0,"AL"
2020-07-09,"25-49",46,1,"AL"
2020-07-09,"5-24",2,0,"AL"
2020-07-09,"50-64",176,3,"AL"
2020-07-09,"65+",816,6,"AL"
2020-07-10,"0-4",2,0,"AL"
2020-07-10,"25-49",47,1,"AL"
2020-07-10,"5-24",2,0,"AL"
2020-07-10,"50-64",181,5,"AL"
2020-07-10,"65+",845,29,"AL"
2020-07-11,"0-4",2,0,"AL"
2020-07-11,"25-49",47,0,"AL"
2020-07-11,"5-24",2,0,"AL"
2020-07-11,"50-64",181,0,"AL"
2020-07-11,"65+",854,9,"AL"
2020-07-12,"0-4",2,0,"AL"
2020-07-12,"25-49",47,0,"AL"
2020-07-12,"5-24",2,0,"AL"
2020-07-12,"50-64",182,1,"AL"
2020-07-12,"65+",858,4,"AL"
2020-07-13,"0-4",2,0,"AL"
2020-07-13,"25-49",47,0,"AL"
2020-07-13,"5-24",2,0,"AL"
2020-07-13,"50-64",183,1,"AL"
2020-07-13,"65+",862,4,"AL"
2020-07-14,"0-4",2,0,"AL"
2020-07-14,"25-49",47,0,"AL"
2020-07-14,"5-24",2,0,"AL"
2020-07-14,"50-64",190,7,"AL"
2020-07-14,"65+",895,33,"AL"
2020-07-15,"0-4",2,0,"AL"
2020-07-15,"25-49",50,3,"AL"
2020-07-15,"5-24",2,0,"AL"
2020-07-15,"50-64",198,8,"AL"
2020-07-15,"65+",931,36,"AL"
2020-07-16,"0-4",2,0,"AL"
2020-07-16,"25-49",50,0,"AL"
2020-07-16,"5-24",2,0,"AL"
2020-07-16,"50-64",200,2,"AL"
2020-07-16,"65+",946,15,"AL"
2020-07-17,"0-4",2,0,"AL"
2020-07-17,"25-49",54,4,"AL"
2020-07-17,"5-24",2,0,"AL"
2020-07-17,"50-64",205,5,"AL"
2020-07-17,"65+",969,23,"AL"
2020-07-18,"0-4",2,0,"AL"
2020-07-18,"25-49",55,1,"AL"
2020-07-18,"5-24",2,0,"AL"
2020-07-18,"50-64",208,3,"AL"
2020-07-18,"65+",986,17,"AL"
2020-07-19,"0-4",2,0,"AL"
2020-07-19,"25-49",55,0,"AL"
2020-07-19,"5-24",2,0,"AL"
2020-07-19,"50-64",208,0,"AL"
2020-07-19,"65+",987,1,"AL"
2020-07-20,"0-4",2,0,"AL"
2020-07-20,"25-49",55,0,"AL"
2020-07-20,"5-24",2,0,"AL"
2020-07-20,"50-64",208,0,"AL"
2020-07-20,"65+",990,3,"AL"
2020-07-21,"0-4",2,0,"AL"
2020-07-21,"25-49",55,0,"AL"
2020-07-21,"5-24",2,0,"AL"
2020-07-21,"50-64",211,3,"AL"
2020-07-21,"65+",998,8,"AL"
2020-07-22,"0-4",3,1,"AL"
2020-07-22,"25-49",56,1,"AL"
2020-07-22,"5-24",2,0,"AL"
2020-07-22,"50-64",226,15,"AL"
2020-07-22,"65+",1038,40,"AL"
2020-07-23,"0-4",3,0,"AL"
2020-07-23,"25-49",59,3,"AL"
2020-07-23,"5-24",2,0,"AL"
2020-07-23,"50-64",237,11,"AL"
2020-07-23,"65+",1056,18,"AL"
2020-07-24,"0-4",3,0,"AL"
2020-07-24,"25-49",59,0,"AL"
2020-07-24,"5-24",2,0,"AL"
2020-07-24,"50-64",242,5,"AL"
2020-07-24,"65+",1089,33,"AL"
2020-07-25,"0-4",3,0,"AL"
2020-07-25,"25-49",61,2,"AL"
2020-07-25,"5-24",2,0,"AL"
2020-07-25,"50-64",248,6,"AL"
2020-07-25,"65+",1099,10,"AL"
2020-07-26,"0-4",3,0,"AL"
2020-07-26,"25-49",62,1,"AL"
2020-07-26,"5-24",3,1,"AL"
2020-07-26,"50-64",251,3,"AL"
2020-07-26,"65+",1109,10,"AL"
2020-07-27,"0-4",3,0,"AL"
2020-07-27,"25-49",63,1,"AL"
2020-07-27,"5-24",3,0,"AL"
2020-07-27,"50-64",254,3,"AL"
2020-07-27,"65+",1123,14,"AL"
