Date,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80+ years,Total
25/03/2020,0,0,0,0,0,0,1,0,1
26/03/2020,0,0,0,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0,0,1,1
29/03/2020,0,0,0,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0,1,1,2
31/03/2020,0,0,0,1,0,0,0,0,1
01/04/2020,0,0,0,0,0,0,0,1,1
02/04/2020,0,0,0,0,0,0,1,0,1
03/04/2020,0,0,0,0,0,0,1,2,3
04/04/2020,0,0,0,0,0,1,0,0,1
05/04/2020,0,0,0,1,0,0,0,0,1
06/04/2020,0,0,0,0,0,0,0,0,0
07/04/2020,0,0,1,0,0,0,0,0,1
08/04/2020,0,0,0,0,0,0,0,3,3
09/04/2020,0,0,0,0,0,0,0,1,1
10/04/2020,0,0,0,0,0,0,0,2,2
11/04/2020,0,0,0,0,0,0,1,0,1
12/04/2020,0,0,0,0,1,0,1,4,6
13/04/2020,0,0,0,1,0,0,1,3,5
14/04/2020,0,0,0,0,1,3,0,1,5
15/04/2020,0,0,0,0,0,0,0,0,0
16/04/2020,0,0,3,0,1,0,1,3,8
17/04/2020,0,0,0,1,1,0,1,4,7
18/04/2020,0,0,0,1,0,1,0,0,2
19/04/2020,0,0,1,0,0,0,0,1,2
20/04/2020,0,0,0,0,0,0,2,1,3
21/04/2020,0,0,0,0,0,1,1,5,7
22/04/2020,0,0,2,0,0,1,0,3,6
23/04/2020,0,0,2,0,0,0,2,3,7
24/04/2020,0,0,0,0,0,3,0,3,6
25/04/2020,0,0,0,1,2,1,0,5,9
26/04/2020,0,0,0,0,1,0,4,1,6
27/04/2020,0,0,0,0,0,2,2,1,5
28/04/2020,0,0,0,1,0,0,1,4,6
29/04/2020,0,0,0,0,2,0,0,0,2
30/04/2020,0,0,0,1,1,0,1,8,11
01/05/2020,0,0,0,1,0,1,3,3,8
02/05/2020,0,0,0,0,0,1,1,6,8
03/05/2020,0,0,0,0,3,2,2,5,12
04/05/2020,0,0,0,0,1,3,1,0,5
05/05/2020,0,0,0,0,1,0,1,4,6
06/05/2020,0,0,0,0,0,5,0,2,7
07/05/2020,0,0,0,0,1,0,1,1,3
08/05/2020,0,0,0,1,1,4,1,2,9
09/05/2020,0,0,0,1,0,0,3,6,10
10/05/2020,0,0,2,0,1,2,1,3,9
11/05/2020,0,0,1,1,1,3,0,2,8
12/05/2020,0,0,0,1,2,2,3,3,11
13/05/2020,0,0,1,0,2,0,2,7,12
14/05/2020,0,1,1,0,1,1,2,5,11
15/05/2020,0,0,0,0,3,2,2,4,11
16/05/2020,0,0,0,0,1,2,1,2,6
17/05/2020,0,1,0,0,1,0,0,4,6
18/05/2020,0,0,1,0,0,1,2,1,5
19/05/2020,0,0,0,0,1,1,1,3,6
20/05/2020,0,0,0,0,1,0,2,4,7
21/05/2020,0,0,0,1,0,1,3,6,11
22/05/2020,0,0,0,0,0,1,2,5,8
23/05/2020,0,0,0,0,1,1,1,3,6
24/05/2020,0,0,0,0,1,2,1,5,9
25/05/2020,0,0,0,0,3,0,0,0,3
26/05/2020,0,0,0,0,0,2,2,1,5
27/05/2020,0,1,0,0,1,1,0,1,4
28/05/2020,0,1,0,0,1,1,2,1,6
29/05/2020,0,0,0,1,2,1,1,4,9
30/05/2020,0,0,0,1,1,3,2,0,7
31/05/2020,0,0,0,0,0,1,0,4,5
01/06/2020,0,0,1,1,1,3,0,0,6
02/06/2020,0,0,1,0,2,0,0,2,5
03/06/2020,0,0,0,0,0,3,2,3,8
04/06/2020,0,0,0,1,1,2,1,3,8
05/06/2020,0,0,0,0,0,2,0,2,4
06/06/2020,0,0,0,0,1,3,1,0,5
07/06/2020,0,0,0,0,0,1,1,2,4
08/06/2020,0,0,1,0,0,2,1,0,4
09/06/2020,0,0,2,0,0,0,1,1,4
10/06/2020,0,0,0,0,2,1,3,0,6
11/06/2020,0,0,0,0,1,1,1,7,10
12/06/2020,0,0,0,0,1,1,2,2,6
13/06/2020,0,0,0,1,2,0,2,0,5
14/06/2020,0,0,0,0,0,2,0,2,4
15/06/2020,0,0,0,0,0,2,1,2,5
16/06/2020,0,0,0,0,2,0,2,3,7
17/06/2020,0,0,0,1,1,0,2,1,5
18/06/2020,0,0,1,0,0,0,1,2,4
19/06/2020,0,0,0,1,0,4,1,2,8
20/06/2020,0,0,0,0,1,1,0,0,2
21/06/2020,0,0,0,0,2,0,1,0,3
22/06/2020,0,0,0,0,0,0,0,0,0
23/06/2020,0,0,0,0,0,1,2,4,7
24/06/2020,0,0,0,0,0,0,1,3,4
25/06/2020,0,0,0,0,1,1,1,2,5
26/06/2020,0,1,0,0,1,1,1,0,4
27/06/2020,0,0,0,0,0,0,0,2,2
28/06/2020,0,0,0,0,1,0,0,0,1
29/06/2020,0,0,0,0,1,0,0,0,1
30/06/2020,0,0,0,0,1,0,3,0,4
01/07/2020,0,0,0,0,0,1,1,1,3
02/07/2020,0,0,1,0,1,1,0,0,3
03/07/2020,0,0,0,1,3,0,0,4,8
04/07/2020,0,0,0,0,1,1,0,0,2
05/07/2020,0,0,0,0,0,0,0,0,0
06/07/2020,0,0,0,0,0,1,1,0,2
07/07/2020,0,0,0,1,0,0,2,1,4
08/07/2020,0,0,0,1,1,3,1,2,8
09/07/2020,0,0,2,0,0,1,2,1,6
10/07/2020,0,0,0,0,1,0,3,2,6
11/07/2020,0,0,0,1,1,0,1,1,4
12/07/2020,0,0,0,1,0,0,1,0,2
13/07/2020,0,0,0,0,1,0,0,2,3
14/07/2020,0,0,2,0,0,0,0,1,3
15/07/2020,0,0,1,0,0,1,3,1,6
16/07/2020,0,0,0,1,0,1,1,2,5
17/07/2020,0,0,0,1,0,0,1,1,3
18/07/2020,0,0,0,0,0,0,2,2,4
19/07/2020,0,0,0,0,2,0,0,0,2
20/07/2020,0,0,0,0,2,0,4,1,7
21/07/2020,0,0,0,1,1,2,4,2,10
22/07/2020,0,0,1,0,1,0,0,1,3
23/07/2020,0,0,0,1,0,2,0,2,5
24/07/2020,0,0,1,0,0,2,1,1,5
25/07/2020,0,0,0,0,0,2,1,3,6
26/07/2020,0,0,2,0,1,2,0,2,7
27/07/2020,0,0,0,0,1,2,0,2,5
28/07/2020,0,0,0,0,0,2,3,2,7
29/07/2020,0,0,0,0,1,3,0,2,6
30/07/2020,0,0,0,0,0,0,2,1,3
31/07/2020,0,0,1,0,1,0,3,2,7
01/08/2020,0,0,0,0,1,1,4,3,9
02/08/2020,0,0,0,2,0,0,1,0,3
03/08/2020,0,0,0,0,0,1,0,0,1
04/08/2020,0,0,0,0,1,0,0,2,3
05/08/2020,0,0,0,0,1,1,4,3,9
06/08/2020,0,0,0,1,1,0,0,0,2
07/08/2020,0,0,0,0,1,1,1,3,6
08/08/2020,0,0,0,0,0,3,2,1,6
09/08/2020,0,0,1,0,1,0,1,1,4
10/08/2020,0,1,0,1,1,2,0,0,5
11/08/2020,0,0,0,2,1,0,0,0,3
12/08/2020,0,0,0,0,0,0,1,1,2
13/08/2020,0,0,1,0,0,0,0,1,2
14/08/2020,0,0,1,0,1,0,3,1,6
15/08/2020,0,0,1,0,0,3,2,2,8
16/08/2020,0,1,0,0,0,0,1,1,3
17/08/2020,0,0,0,1,0,0,2,1,4
18/08/2020,0,0,0,0,0,2,0,3,5
